sites	X9	X12	Mont	Name_fish	Data	Year_sampling	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9.1	X10	X11	X12.1	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33
P0057	119	1191	1191a	P0057	Fish_Amazonia_PA	2011	33.87135536	34.47216742	35.47959974	36.33061526	36.91200906	37.25863511	35.38251897	33.43807241	30.85985295	30.25745005	32.53204891	34.07810077	33.70806039	33.70860242	36.122272	37.57302015	39.84396696	39.41154693	36.72308233	33.30080616	31.47572188	30.42577646	30.35718905	32.45844075	31.1734095	29.53958306	29.81195355	NA	NA	NA	NA	NA	NA	NA
P0060	118	1181	1181b	P0060	Fish_Amazonia_PA	2011	17.85084186	18.09258414	18.53921841	19.39847093	19.4320822	19.32745891	19.90469003	19.41267065	16.77949204	15.22501849	15.99261565	17.1832085	17.03789855	16.23499169	11.65640261	11.26362206	9.499273015	7.984286516	6.07781728	5.196997358	5.625282029	5.619447029	5.990465021	7.127504698	7.137211508	6.818002157	5.998328473	NA	NA	NA	NA	NA	NA	NA
P0066	116	1161	1161a	P0066	Fish_Amazonia_PA	2011	2.6195424	2.767870598	2.813330337	2.898205873	2.882568958	2.741102257	2.535115943	2.320711918	2.125550224	1.896339771	1.794556582	1.382929505	1.297554527	0.804219376	0.240860647	0.24034076	0.295070264	0.431719343	0.601990773	0.735231911	0.852395909	0.92747799	0.967072478	1.023648068	1.065947575	1.091327279	1.126052286	NA	NA	NA	NA	NA	NA	NA
P0067	115	1151	1151a	P0067	Fish_Amazonia_PA	2011	0.455971284	0.475543008	0.468822171	0.487416301	0.510153438	0.506979619	0.631469215	0.737234011	0.782454197	0.849618651	0.89436985	0.854823216	0.809292891	0.591720078	0.541598061	0.544262356	0.550306471	0.590219613	0.650281689	0.708040527	0.919644343	1.158438616	1.49777987	1.590314649	1.70182747	1.708662543	1.831894811	NA	NA	NA	NA	NA	NA	NA
P0070	117	1172	1172a	P0070	Fish_Amazonia_PA	2011	31.62507227	32.05912717	32.10505355	31.98309775	30.80974015	29.77628362	28.11319404	26.06754682	23.89974099	22.01864324	19.94439868	18.88182064	18.21835921	17.73779459	13.4826126	12.29810629	10.51838767	8.519891381	7.746865922	7.297238826	7.317366774	7.503523928	7.317268894	6.783803445	5.899675167	4.838054031	4.80876777	NA	NA	NA	NA	NA	NA	NA
P0071	117	1171	1171b	P0071	Fish_Amazonia_PA	2011	31.62507227	32.05912717	32.10505355	31.98309775	30.80974015	29.77628362	28.11319404	26.06754682	23.89974099	22.01864324	19.94439868	18.88182064	18.21835921	17.73779459	13.4826126	12.29810629	10.51838767	8.519891381	7.746865922	7.297238826	7.317366774	7.503523928	7.317268894	6.783803445	5.899675167	4.838054031	4.80876777	NA	NA	NA	NA	NA	NA	NA
P0072	117	1171	1171a	P0072	Fish_Amazonia_PA	2011	31.62507227	32.05912717	32.10505355	31.98309775	30.80974015	29.77628362	28.11319404	26.06754682	23.89974099	22.01864324	19.94439868	18.88182064	18.21835921	17.73779459	13.4826126	12.29810629	10.51838767	8.519891381	7.746865922	7.297238826	7.317366774	7.503523928	7.317268894	6.783803445	5.899675167	4.838054031	4.80876777	NA	NA	NA	NA	NA	NA	NA
P0076	118	1182	1182a	P0076	Fish_Amazonia_PA	2011	17.85084186	18.09258414	18.53921841	19.39847093	19.4320822	19.32745891	19.90469003	19.41267065	16.77949204	15.22501849	15.99261565	17.1832085	17.03789855	16.23499169	11.65640261	11.26362206	9.499273015	7.984286516	6.07781728	5.196997358	5.625282029	5.619447029	5.990465021	7.127504698	7.137211508	6.818002157	5.998328473	NA	NA	NA	NA	NA	NA	NA
P0077	118	1181	1181a	P0077	Fish_Amazonia_PA	2011	17.85084186	18.09258414	18.53921841	19.39847093	19.4320822	19.32745891	19.90469003	19.41267065	16.77949204	15.22501849	15.99261565	17.1832085	17.03789855	16.23499169	11.65640261	11.26362206	9.499273015	7.984286516	6.07781728	5.196997358	5.625282029	5.619447029	5.990465021	7.127504698	7.137211508	6.818002157	5.998328473	NA	NA	NA	NA	NA	NA	NA
P0086	121	1211	1211a	P0086	Fish_Amazonia_PA	2011	41.46998406	41.42944411	41.94464018	42.61364444	42.71268404	41.10003949	40.4220258	40.79370175	39.76500341	39.99164585	37.71845336	35.84394258	32.69912171	31.83253514	30.89716954	27.64642008	26.87999045	25.30524102	24.78092857	24.42063988	24.33227255	24.33426152	15.73837013	16.44515958	16.2498543	16.23961996	16.23961996	NA	NA	NA	NA	NA	NA	NA
