"","X9","X12","Mont","Name_fish","Area","Fresh_ecor","Mont_temperaturamean","Mont_precmean","topografiaCV"
"P0057",119,1191,"1191a","P0057",14.416,"Amazon_Eas",25.89560212,1932.555556,15.91479363
"P0060",118,1181,"1181b","P0060",54.392,"Amazon_Eas",25.90102577,1950.630769,13.9559432
"P0066",116,1161,"1161a","P0066",1.53,"Amazon_Eas",26.23958302,2023.5,5.652027485
"P0067",115,1151,"1151a","P0067",1.089,"Amazon_Eas",26.24418771,2019.384962,7.433528228
"P0070",117,1172,"1172a","P0070",7.829,"Amazon_Eas",25.96333313,1946.2,13.89967083
"P0071",117,1171,"1171b","P0071",9.622,"Amazon_Eas",26.15541668,1950,17.077197
"P0072",117,1171,"1171a","P0072",3.172,"Amazon_Eas",26.22916698,1927,8.283403698
"P0076",118,1182,"1182a","P0076",38.482,"Amazon_Eas",25.78519501,1922.276596,19.06339803
"P0077",118,1181,"1181a","P0077",19.351,"Amazon_Eas",25.99275373,1958.478261,16.28361339
"P0086",121,1211,"1211a","P0086",17.315,"Amazon_Eas",25.50109622,1923,16.44270208
"P0087",121,1212,"1212a","P0087",8.972,"Amazon_Eas",25.5227271,1896.090909,9.606999078
"P0088",120,1202,"1202a","P0088",2.822,"Amazon_Eas",25.4885416,1865.5,14.04534841
"P0089",119,1192,"1192a","P0089",5.602,"Amazon_Eas",25.94930522,1924,31.52098785
"P0093",116,1162,"1162a","P0093",6.046,"Amazon_Eas",26.0255208,2056.125,9.665271973
"P0094",115,1152,"1152a","P0094",37.586,"Amazon_Eas",26.00795468,2001.954545,16.40376758
"P0096",120,1203,"1203a","P0096",2.732,"Amazon_Eas",25.89375019,1900,30.69306931
"P0098",120,1203,"1203b","P0098",5.458,"Amazon_Eas",25.68657388,1905.555556,12.78466459
"P0111",113,1131,"1131a","P0111",2.668,"Low_Amazon",25.91527748,1862,22.18449065
"P0112",113,1132,"1132b","P0112",9.962,"Low_Amazon",25.7100695,1855.083333,17.33696961
"P0113",113,1131,"1131b","P0113",6.646,"Low_Amazon",25.86904744,1872.571429,25.31339467
"P0114",113,1132,"1132a","P0114",1.857,"Low_Amazon",25.6520834,1849.5,9.8883979
"P0118",112,1121,"1121c","P0118",1.695,"Low_Amazon",25.78125,1824.5,9.332383503
"P0119",112,1121,"1121a","P0119",4.042,"Low_Amazon",25.75,1822.4,21.21900337
"P0120",112,1121,"1121b","P0120",15.193,"Low_Amazon",25.75482439,1828.157895,19.84261692
"P0121",112,1122,"1122a","P0121",4.465,"Low_Amazon",25.66750031,1839,9.995329927
"P0124",111,1112,"1112a","P0124",63.056,"Low_Amazon",25.58961116,1799.933333,15.59334592
"P0126",111,1111,"1111a","P0126",0.889,"Low_Amazon",25.84961224,1811.518876,22.18586292
"P0132",113,1133,"1133a","P0132",16.718,"Low_Amazon",25.69722212,1844.809524,15.04517512
"P0139",113,1133,"1133b","P0139",39.184,"Low_Amazon",25.66453696,1853.8,14.25679426
"P0215",104,1041,"1041a","P0215",15.462,"Madeira",24.48703702,2074.888889,9.580627321
"P0218",104,1042,"1042b","P0218",0.001,"Madeira",24.56670031,2046.02751,0
"P0234",106,1061,"1061a","P0234",0.724,"Madeira",25.00859553,2233.535822,8.799099452
"P0235",107,1071,"1071a","P0235",1.67,"Madeira",25.1658963,2297.909749,5.324571214
"P0236",107,1072,"1072b","P0236",13.073,"Madeira",25.1779762,2312.5,9.591722308
"P0237",107,1072,"1072a","P0237",6.185,"Madeira",25.14523806,2314,11.96281336
"P0245",106,1062,"1062a","P0245",0.943,"Madeira",24.78333378,2160,11.16528782
"P0248",106,1062,"1062b","P0248",9.589,"Madeira",24.89027786,2175.416667,12.24473279
