ID_Point;Latitude;Longitude;Name;Description;Rich;sub9;Name_fish;Year_sampling;LUyear0.sub9;sub9_groups;LUyear0.mont;mont_groups;Duration_70;Duration_50;Duration_50_groups;Duration_30;NanosLU
P0067;-3.782833;-48.51207;igarapé19;fish_Amazonia_PA;15;115;P0067;2011;0.455971284;baixo;0;baixo;0;0;recent;0;26
P0094;-3.734168;-48.423867;igarapé47;fish_Amazonia_PA;22;115;P0094;2011;0.455971284;baixo;0.02845355;baixo;0;0;recent;0;26
P0066;-3.737259;-48.511228;igarapé18;fish_Amazonia_PA;25;116;P0066;2011;2.6195424;baixo;0;baixo;0;0;recent;0;26
P0093;-3.669697;-48.514682;igarapé46;fish_Amazonia_PA;20;116;P0093;2011;2.6195424;baixo;0;baixo;0;0;recent;0;26
P0302;-30.85017;-53.240583;SBV1302;fish_CamposSulinos_RS;23;2;P0302;2014;5.50144932;baixo;0.526240424;baixo;0;0;recent;0;29
P0301;-30.854714;-53.22713;SBV1301;fish_CamposSulinos_RS;18;2;P0301;2014;5.50144932;baixo;0.942569049;baixo;0;0;recent;0;29
P0303;-30.823874;-53.194339;SBV1303;fish_CamposSulinos_RS;16;2;P0303;2014;5.50144932;baixo;4.683329289;baixo;0;0;recent;0;29
P1081;-25.289828;-48.678691;Rio_do_Turvo;Fish_MAtlantica_PR;8;13;P1081;2004;8.323280378;baixo;0;baixo;0;0;recent;0;19
P1083;-25.25622;-48.67675;Rio_Dominguinhos;Fish_MAtlantica_PR;13;13;P1083;2004;8.323280378;baixo;0;baixo;0;0;recent;0;19
P0290;-30.292338;-55.966083;QUA1302;fish_CamposSulinos_RS;18;4;P0290;2014;8.967671908;baixo;0.573920383;baixo;0;0;recent;0;29
P0289;-30.304496;-55.92623;QUA1301;fish_CamposSulinos_RS;30;4;P0289;2014;8.967671908;baixo;15.36656293;baixo;0;0;recent;0;29
P0291;-30.28349;-55.97125;QUA1303;fish_CamposSulinos_RS;26;4;P0291;2014;8.967671908;baixo;20.71953782;baixo;0;0;recent;0;29
P0312;-30.809709;-55.537394;SLI1403;fish_CamposSulinos_RS;21;3;P0312;2014;15.03501221;baixo;2.312420724;baixo;0;0;recent;0;29
P0314;-30.605547;-55.376349;SLI1405;fish_CamposSulinos_RS;24;3;P0314;2014;15.03501221;baixo;3.354109105;baixo;0;0;recent;0;29
P0076;-3.398079;-47.777941;igarapé29;fish_Amazonia_PA;6;118;P0076;2011;17.85084186;baixo;14.01052412;baixo;0;0;recent;0;26
P0060;-3.365448;-47.834143;igarapé12;fish_Amazonia_PA;23;118;P0060;2011;17.85084186;baixo;14.05257919;baixo;0;0;recent;0;26
P0077;-3.366245;-47.870424;igarapé30;fish_Amazonia_PA;12;118;P0077;2011;17.85084186;baixo;14.79549441;baixo;0;0;recent;0;26
P0124;-3.465332;-54.790525;igarapé77;fish_Amazonia_PA;12;111;P0124;2011;18.2483356;baixo;20.35211669;baixo;0;0;recent;0;26
P0126;-3.379526;-54.805997;igarapé79;fish_Amazonia_PA;7;111;P0126;2011;18.2483356;baixo;52.15686275;alto;0;0;recent;0;26
P0121;-3.297803;-54.964443;igarapé74;fish_Amazonia_PA;6;112;P0121;2011;19.19655726;baixo;0;baixo;0;0;recent;0;26
P0120;-3.263803;-54.900581;igarapé73;fish_Amazonia_PA;6;112;P0120;2011;19.19655726;baixo;28.13896073;baixo;0;0;recent;0;26
P0119;-3.259748;-54.884025;igarapé72;fish_Amazonia_PA;6;112;P0119;2011;19.19655726;baixo;50.3975265;alto;0;0;recent;0;26
P0118;-3.293359;-54.879609;igarapé71;fish_Amazonia_PA;6;112;P0118;2011;19.19655726;baixo;52.37592397;alto;0;0;recent;0;26
P0114;-3.042469;-55.020832;igarapé67;fish_Amazonia_PA;14;113;P0114;2011;20.40374616;baixo;0;baixo;0;0;recent;0;26
P0139;-3.187997;-54.984387;igarapé92;fish_Amazonia_PA;15;113;P0139;2011;20.40374616;baixo;12.27140388;baixo;0;0;recent;0;26
P0112;-3.039774;-54.91472;igarapé65;fish_Amazonia_PA;11;113;P0112;2011;20.40374616;baixo;16.45478962;baixo;0;0;recent;0;26
P0132;-3.185608;-54.971637;igarapé85;fish_Amazonia_PA;17;113;P0132;2011;20.40374616;baixo;27.95704669;baixo;0;0;recent;0;26
P0111;-2.996719;-54.880581;igarapé64;fish_Amazonia_PA;6;113;P0111;2011;20.40374616;baixo;52.85285285;alto;0;0;recent;0;26
P0113;-3.02558;-54.882136;igarapé66;fish_Amazonia_PA;11;113;P0113;2011;20.40374616;baixo;69.80264936;alto;0;0;recent;0;26
P3224;-9.900258;-59.191291;A09;Fish_Amazonia_MT;22;110;P3224;2018;25.38340849;baixo;34.50681109;baixo;0;0;recent;0;33
P3225;-9.913694;-59.118771;A10;Fish_Amazonia_MT;15;110;P3225;2018;25.38340849;baixo;40.89987092;baixo;0;0;recent;0;33
P0281;-32.231235;-53.436979;JAG1401;fish_CamposSulinos_RS;22;1;P0281;2014;28.7405719;baixo;5.607539099;baixo;0;0;recent;0;29
P0283;-32.252567;-53.39548;JAG1403;fish_CamposSulinos_RS;20;1;P0283;2014;28.7405719;baixo;12.19211823;baixo;0;0;recent;0;29
P0282;-32.241086;-53.454674;JAG1402;fish_CamposSulinos_RS;29;1;P0282;2014;28.7405719;baixo;13.01384741;baixo;0;0;recent;0;29
P0325;-32.256;-53.37567;JAGex1401;fish_CamposSulinos_RS;19;1;P0325;2014;28.7405719;baixo;18.27923941;baixo;0;0;recent;0;29
P0235;-9.104104;-62.098563;RO33;Fish_Amazonia_RO;11;107;P0235;2018;29.24036366;baixo;8.990536278;baixo;0;0;recent;0;33
P0236;-9.121469;-62.124572;RO34;Fish_Amazonia_RO;13;107;P0236;2018;29.24036366;baixo;57.22420417;alto;0;0;recent;0;33
P0237;-9.122196;-62.125936;RO35;Fish_Amazonia_RO;12;107;P0237;2018;29.24036366;baixo;58.75818855;alto;0;0;recent;0;33
P0264;-12.793207;-60.313832;RO62;Fish_Amazonia_RO;3;101;P0264;2018;30.36491046;baixo;16.05839416;baixo;0;0;recent;10;33
P0263;-12.873268;-60.462772;RO61;Fish_Amazonia_RO;10;101;P0263;2018;30.36491046;baixo;68.5828466;alto;0;0;recent;10;33
P0265;-12.796717;-60.253362;RO63;Fish_Amazonia_RO;4;101;P0265;2018;30.36491046;baixo;73.89951089;alto;0;0;recent;10;33
P0266;-12.785675;-60.409268;RO64;Fish_Amazonia_RO;4;101;P0266;2018;30.36491046;baixo;84.48815378;alto;0;0;recent;10;33
P0382;-14.3899;-48.3583;Ni9;fish_Cerrado_GO;10;96;P0382;2013;31.25779682;baixo;24.09893993;baixo;0;0;recent;1;28
P0383;-14.4501;-48.3702;Ni10;fish_Cerrado_GO;3;96;P0383;2013;31.25779682;baixo;27.17183314;baixo;0;0;recent;1;28
P0377;-14.3407;-48.3391;Ni4;fish_Cerrado_GO;3;96;P0377;2013;31.25779682;baixo;36.63863355;baixo;0;0;recent;1;28
P0384;-14.4303;-48.3807;Ni12;fish_Cerrado_GO;6;96;P0384;2013;31.25779682;baixo;37.84461153;baixo;0;0;recent;1;28
P0070;-3.716832;-48.134219;igarapé23;fish_Amazonia_PA;19;117;P0070;2011;31.62507227;baixo;0.808932437;baixo;0;0;recent;4;26
P0072;-3.775184;-48.10423;igarapé25;fish_Amazonia_PA;22;117;P0072;2011;31.62507227;baixo;47.4128234;baixo;0;0;recent;4;26
P0071;-3.757758;-48.116052;igarapé24;fish_Amazonia_PA;20;117;P0071;2011;31.62507227;baixo;72.87174721;alto;0;0;recent;4;26
P0294;-28.51503;-55.469611;SAM1303;fish_CamposSulinos_RS;19;5;P0294;2014;32.74931517;baixo;12.64451746;baixo;0;0;recent;29;29
P0293;-28.552564;-55.437127;SAM1302;fish_CamposSulinos_RS;26;5;P0293;2014;32.74931517;baixo;13.70713366;baixo;0;0;recent;29;29
