"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0057","P0057",-3.210043,-47.602725,"igarapé9","fish_Amazonia_PA",12,119,"P0057",2011,33.87135536,0.1234796567,0,0,24,26
"P0060","P0060",-3.365448,-47.834143,"igarapé12","fish_Amazonia_PA",23,118,"P0060",2011,17.85084186,14.05257919,0,0,0,26
"P0066","P0066",-3.737259,-48.511228,"igarapé18","fish_Amazonia_PA",25,116,"P0066",2011,2.6195424,0,0,0,0,26
"P0067","P0067",-3.782833,-48.51207,"igarapé19","fish_Amazonia_PA",15,115,"P0067",2011,0.455971284,0,0,0,0,26
"P0070","P0070",-3.716832,-48.134219,"igarapé23","fish_Amazonia_PA",19,117,"P0070",2011,31.62507227,0.8089324371,0,0,4,26
"P0071","P0071",-3.757758,-48.116052,"igarapé24","fish_Amazonia_PA",20,117,"P0071",2011,31.62507227,72.87174721,0,0,4,26
"P0072","P0072",-3.775184,-48.10423,"igarapé25","fish_Amazonia_PA",22,117,"P0072",2011,31.62507227,47.4128234,0,0,4,26
"P0076","P0076",-3.398079,-47.777941,"igarapé29","fish_Amazonia_PA",6,118,"P0076",2011,17.85084186,14.01052412,0,0,0,26
"P0077","P0077",-3.366245,-47.870424,"igarapé30","fish_Amazonia_PA",12,118,"P0077",2011,17.85084186,14.79549441,0,0,0,26
"P0086","P0086",-3.021663,-46.949053,"igarapé39","fish_Amazonia_PA",39,121,"P0086",2011,41.46998406,21.19198475,0,0,14,26
"P0087","P0087",-3.086545,-46.969354,"igarapé40","fish_Amazonia_PA",13,121,"P0087",2011,41.46998406,0.100070049,0,0,14,26
"P0088","P0088",-3.192067,-47.017891,"igarapé41","fish_Amazonia_PA",15,120,"P0088",2011,39.63024157,0,0,0,14,26
"P0089","P0089",-3.282473,-47.584629,"igarapé42","fish_Amazonia_PA",45,119,"P0089",2011,33.87135536,17.87806809,0,0,24,26
"P0093","P0093",-3.669697,-48.514682,"igarapé46","fish_Amazonia_PA",20,116,"P0093",2011,2.6195424,0,0,0,0,26
"P0094","P0094",-3.734168,-48.423867,"igarapé47","fish_Amazonia_PA",22,115,"P0094",2011,0.455971284,0.02845354958,0,0,0,26
"P0096","P0096",-3.084704,-47.117616,"igarapé49","fish_Amazonia_PA",25,120,"P0096",2011,39.63024157,24.61688947,0,0,14,26
"P0098","P0098",-3.068438,-47.118609,"igarapé51","fish_Amazonia_PA",20,120,"P0098",2011,39.63024157,0.9054988475,0,0,14,26
"P0111","P0111",-2.996719,-54.880581,"igarapé64","fish_Amazonia_PA",6,113,"P0111",2011,20.40374616,52.85285285,0,0,0,26
"P0112","P0112",-3.039774,-54.91472,"igarapé65","fish_Amazonia_PA",11,113,"P0112",2011,20.40374616,16.45478962,0,0,0,26
"P0113","P0113",-3.02558,-54.882136,"igarapé66","fish_Amazonia_PA",11,113,"P0113",2011,20.40374616,69.80264936,0,0,0,26
"P0114","P0114",-3.042469,-55.020832,"igarapé67","fish_Amazonia_PA",14,113,"P0114",2011,20.40374616,0,0,0,0,26
"P0118","P0118",-3.293359,-54.879609,"igarapé71","fish_Amazonia_PA",6,112,"P0118",2011,19.19655726,52.37592397,0,0,0,26
"P0119","P0119",-3.259748,-54.884025,"igarapé72","fish_Amazonia_PA",6,112,"P0119",2011,19.19655726,50.3975265,0,0,0,26
"P0120","P0120",-3.263803,-54.900581,"igarapé73","fish_Amazonia_PA",6,112,"P0120",2011,19.19655726,28.13896073,0,0,0,26
"P0121","P0121",-3.297803,-54.964443,"igarapé74","fish_Amazonia_PA",6,112,"P0121",2011,19.19655726,0,0,0,0,26
"P0124","P0124",-3.465332,-54.790525,"igarapé77","fish_Amazonia_PA",12,111,"P0124",2011,18.2483356,20.35211669,0,0,0,26
"P0126","P0126",-3.379526,-54.805997,"igarapé79","fish_Amazonia_PA",7,111,"P0126",2011,18.2483356,52.15686275,0,0,0,26
"P0132","P0132",-3.185608,-54.971637,"igarapé85","fish_Amazonia_PA",17,113,"P0132",2011,20.40374616,27.95704669,0,0,0,26
"P0139","P0139",-3.187997,-54.984387,"igarapé92","fish_Amazonia_PA",15,113,"P0139",2011,20.40374616,12.27140388,0,0,0,26
"P0215","P0215",-11.030736,-61.911585,"RO13","Fish_Amazonia_RO",26,104,"P0215",2018,86.26398906,80.33948677,25,33,33,33
"P0218","P0218",-9.421498,-61.821973,"RO16","Fish_Amazonia_RO",20,104,"P0218",2018,86.26398906,100,25,33,33,33
"P0234","P0234",-9.667455,-62.162111,"RO32","Fish_Amazonia_RO",24,106,"P0234",2018,64.61661856,100,0,16,24,33
"P0235","P0235",-9.104104,-62.098563,"RO33","Fish_Amazonia_RO",11,107,"P0235",2018,29.24036366,8.990536278,0,0,0,33
"P0236","P0236",-9.121469,-62.124572,"RO34","Fish_Amazonia_RO",13,107,"P0236",2018,29.24036366,57.22420417,0,0,0,33
"P0237","P0237",-9.122196,-62.125936,"RO35","Fish_Amazonia_RO",12,107,"P0237",2018,29.24036366,58.75818855,0,0,0,33
"P0245","P0245",-9.759255,-62.116894,"RO43","Fish_Amazonia_RO",19,106,"P0245",2018,64.61661856,4.291044776,0,16,24,33
"P0248","P0248",-9.806537,-62.147994,"RO46","Fish_Amazonia_RO",17,106,"P0248",2018,64.61661856,68.43459877,0,16,24,33
