9	12	Mont	Name_fish	Data	Duration_70_20	Duration_50_20	Duration_30_20
119	1191	1191a	P0057	Fish_Amazonia_PA	0	0	20
118	1181	1181b	P0060	Fish_Amazonia_PA	0	0	0
116	1161	1161a	P0066	Fish_Amazonia_PA	0	0	0
115	1151	1151a	P0067	Fish_Amazonia_PA	0	0	0
117	1172	1172a	P0070	Fish_Amazonia_PA	0	0	4
117	1171	1171b	P0071	Fish_Amazonia_PA	0	0	4
117	1171	1171a	P0072	Fish_Amazonia_PA	0	0	4
118	1182	1182a	P0076	Fish_Amazonia_PA	0	0	0
118	1181	1181a	P0077	Fish_Amazonia_PA	0	0	0
121	1211	1211a	P0086	Fish_Amazonia_PA	0	0	14
121	1212	1212a	P0087	Fish_Amazonia_PA	0	0	14
120	1202	1202a	P0088	Fish_Amazonia_PA	0	0	14
119	1192	1192a	P0089	Fish_Amazonia_PA	0	0	20
116	1162	1162a	P0093	Fish_Amazonia_PA	0	0	0
115	1152	1152a	P0094	Fish_Amazonia_PA	0	0	0
120	1203	1203a	P0096	Fish_Amazonia_PA	0	0	14
120	1203	1203b	P0098	Fish_Amazonia_PA	0	0	14
113	1131	1131a	P0111	Fish_Amazonia_PA	0	0	0
113	1132	1132b	P0112	Fish_Amazonia_PA	0	0	0
113	1131	1131b	P0113	Fish_Amazonia_PA	0	0	0
113	1132	1132a	P0114	Fish_Amazonia_PA	0	0	0
112	1121	1121c	P0118	Fish_Amazonia_PA	0	0	0
112	1121	1121a	P0119	Fish_Amazonia_PA	0	0	0
112	1121	1121b	P0120	Fish_Amazonia_PA	0	0	0
112	1122	1122a	P0121	Fish_Amazonia_PA	0	0	0
111	1112	1112a	P0124	Fish_Amazonia_PA	0	0	0
111	1111	1111a	P0126	Fish_Amazonia_PA	0	0	0
113	1133	1133a	P0132	Fish_Amazonia_PA	0	0	0
113	1133	1133b	P0139	Fish_Amazonia_PA	0	0	0
104	1041	1041a	P0215	Fish_Amazonia_RO	20	20	20
104	1042	1042b	P0218	Fish_Amazonia_RO	20	20	20
106	1061	1061a	P0234	Fish_Amazonia_RO	0	16	20
107	1071	1071a	P0235	Fish_Amazonia_RO	0	0	0
107	1072	1072b	P0236	Fish_Amazonia_RO	0	0	0
107	1072	1072a	P0237	Fish_Amazonia_RO	0	0	0
106	1062	1062a	P0245	Fish_Amazonia_RO	0	16	20
106	1062	1062b	P0248	Fish_Amazonia_RO	0	16	20
104	1041	1041b	P0254	Fish_Amazonia_RO	20	20	20
104	1042	1042c	P0255	Fish_Amazonia_RO	20	20	20
104	1042	1042a	P0256	Fish_Amazonia_RO	20	20	20
103	1031	1031a	P0261	Fish_Amazonia_RO	20	20	20
103	1032	1032a	P0262	Fish_Amazonia_RO	20	20	20
101	1012	1012a	P0263	Fish_Amazonia_RO	0	0	10
101	1013	1013a	P0264	Fish_Amazonia_RO	0	0	10
101	1013	1013b	P0265	Fish_Amazonia_RO	0	0	10
101	1011	1011a	P0266	Fish_Amazonia_RO	0	0	10
102	1021	1021a	P0271	Fish_Amazonia_RO	20	20	20
102	1022	1022a	P0272	Fish_Amazonia_RO	20	20	20
102	1024	1024a	P0276	Fish_Amazonia_RO	20	20	20
102	1023	1023a	P0277	Fish_Amazonia_RO	20	20	20
1	11	11a	P0281	Fish_CamposSulinos_RS	0	0	0
1	11	11b	P0282	Fish_CamposSulinos_RS	0	0	0
1	12	12b	P0283	Fish_CamposSulinos_RS	0	0	0
4	42	42a	P0289	Fish_CamposSulinos_RS	0	0	0
4	41	41a	P0290	Fish_CamposSulinos_RS	0	0	0
4	41	41b	P0291	Fish_CamposSulinos_RS	0	0	0
5	51	51a	P0292	Fish_CamposSulinos_RS	0	0	20
5	52	52a	P0293	Fish_CamposSulinos_RS	0	0	20
5	51	51b	P0294	Fish_CamposSulinos_RS	0	0	20
2	22	22a	P0301	Fish_CamposSulinos_RS	0	0	0
2	22	22b	P0302	Fish_CamposSulinos_RS	0	0	0
2	21	21a	P0303	Fish_CamposSulinos_RS	0	0	0
3	31	31a	P0312	Fish_CamposSulinos_RS	0	0	0
3	32	32a	P0314	Fish_CamposSulinos_RS	0	0	0
1	12	12a	P0325	Fish_CamposSulinos_RS	0	0	0
98	982	982a	P0333	Fish_Cerrado_GO	0	0	20
98	982	982b	P0334	Fish_Cerrado_GO	0	0	20
98	984	984a	P0339	Fish_Cerrado_GO	0	0	20
98	983	983b	P0342	Fish_Cerrado_GO	0	0	20
98	983	983c	P0343	Fish_Cerrado_GO	0	0	20
99	991	991a	P0344	Fish_Cerrado_GO	0	0	8
98	981	981a	P0345	Fish_Cerrado_GO	0	0	20
99	991	991c	P0349	Fish_Cerrado_GO	0	0	8
99	991	991b	P0350	Fish_Cerrado_GO	0	0	8
99	992	992d	P0351	Fish_Cerrado_GO	0	0	8
99	992	992b	P0352	Fish_Cerrado_GO	0	0	8
99	992	992a	P0353	Fish_Cerrado_GO	0	0	8
99	992	992c	P0354	Fish_Cerrado_GO	0	0	8
100	1001	1001a	P0355	Fish_Cerrado_GO	0	0	11
100	1001	1001b	P0356	Fish_Cerrado_GO	0	0	11
100	1002	1002c	P0357	Fish_Cerrado_GO	0	0	11
100	1002	1002a	P0358	Fish_Cerrado_GO	0	0	11
100	1002	1002b	P0359	Fish_Cerrado_GO	0	0	11
98	983	983a	P0361	Fish_Cerrado_GO	0	0	20
94	941	941a	P0362	Fish_Cerrado_GO	0	20	20
94	942	942a	P0363	Fish_Cerrado_GO	0	20	20
94	941	941b	P0373	Fish_Cerrado_GO	0	20	20
96	961	961a	P0377	Fish_Cerrado_GO	0	0	1
95	952	952b	P0379	Fish_Cerrado_GO	0	0	20
95	951	951a	P0380	Fish_Cerrado_GO	0	0	20
95	952	952a	P0381	Fish_Cerrado_GO	0	0	20
96	962	962a	P0382	Fish_Cerrado_GO	0	0	1
96	962	962c	P0383	Fish_Cerrado_GO	0	0	1
96	962	962b	P0384	Fish_Cerrado_GO	0	0	1
81	811	811c	P0391	Fish_Cerrado_MG	20	20	20
82	822	822a	P0392	Fish_Cerrado_MG	20	20	20
82	821	821a	P0394	Fish_Cerrado_MG	20	20	20
83	832	832a	P0398	Fish_Cerrado_MG	20	20	20
82	822	822b	P0405	Fish_Cerrado_MG	20	20	20
84	842	842a	P0407	Fish_Cerrado_MG	20	20	20
84	841	841a	P0410	Fish_Cerrado_MG	20	20	20
81	811	811a	P0413	Fish_Cerrado_MG	20	20	20
83	831	831a	P0414	Fish_Cerrado_MG	20	20	20
84	842	842b	P0419	Fish_Cerrado_MG	20	20	20
81	812	812a	P0424	Fish_Cerrado_MG	20	20	20
81	811	811b	P0425	Fish_Cerrado_MG	20	20	20
82	821	821b	P0427	Fish_Cerrado_MG	20	20	20
82	821	821c	P0428	Fish_Cerrado_MG	20	20	20
77	772	772a	P0441	Fish_Cerrado_MG	20	20	20
76	762	762a	P0444	Fish_Cerrado_MG	20	20	20
77	772	772b	P0445	Fish_Cerrado_MG	20	20	20
77	771	771a	P0450	Fish_Cerrado_MG	20	20	20
76	762	762b	P0455	Fish_Cerrado_MG	20	20	20
76	761	761a	P0461	Fish_Cerrado_MG	20	20	20
88	882	882a	P0472	Fish_Cerrado_MG	0	13	20
85	852	852a	P0474	Fish_Cerrado_MG	9	20	20
89	891	891a	P0476	Fish_Cerrado_MG	0	0	8
86	861	861a	P0477	Fish_Cerrado_MG	1	20	20
90	901	901a	P0478	Fish_Cerrado_MG	0	0	20
90	902	902a	P0480	Fish_Cerrado_MG	0	0	20
85	851	851a	P0481	Fish_Cerrado_MG	9	20	20
88	881	881a	P0482	Fish_Cerrado_MG	0	13	20
85	852	852b	P0486	Fish_Cerrado_MG	9	20	20
89	892	892a	P0489	Fish_Cerrado_MG	0	0	8
86	862	862b	P0499	Fish_Cerrado_MG	1	20	20
86	862	862a	P0507	Fish_Cerrado_MG	1	20	20
80	801	801a	P0511	Fish_Cerrado_MG	20	20	20
80	803	803a	P0513	Fish_Cerrado_MG	20	20	20
80	802	802d	P0514	Fish_Cerrado_MG	20	20	20
80	802	802a	P0518	Fish_Cerrado_MG	20	20	20
80	802	802c	P0527	Fish_Cerrado_MG	20	20	20
80	802	802b	P0536	Fish_Cerrado_MG	20	20	20
46	461	461a	P0674	Fish_Cerrado_MS3	20	20	20
46	462	462a	P0675	Fish_Cerrado_MS3	20	20	20
47	471	471a	P0676	Fish_Cerrado_MS3	20	20	20
40	403	403a	P0682	Fish_Cerrado_MS3	20	20	20
29	292	292a	P0683	Fish_Cerrado_MS3	20	20	20
26	263	263a	P0685	Fish_Cerrado_MS3	20	20	20
43	431	431a	P0687	Fish_Cerrado_MS3	20	20	20
42	422	422b	P0690	Fish_Cerrado_MS3	20	20	20
41	414	414a	P0691	Fish_Cerrado_MS3	20	20	20
35	351	351a	P0693	Fish_Cerrado_MS3	20	20	20
47	472	472a	P0700	Fish_Cerrado_MS3	20	20	20
44	441	441c	P0705	Fish_Cerrado_MS3	20	20	20
122	1222	1222a	P0713	Fish_Cerrado_MS3	20	20	20
53	531	531a	P0714	Fish_Cerrado_MS3	20	20	20
50	501	501a	P0717	Fish_Cerrado_MS3	20	20	20
50	502	502a	P0718	Fish_Cerrado_MS3	20	20	20
62	622	622a	P0720	Fish_Cerrado_MS3	20	20	20
41	414	414b	P0721	Fish_Cerrado_MS3	20	20	20
41	411	411a	P0722	Fish_Cerrado_MS3	20	20	20
45	452	452a	P0730	Fish_Cerrado_MS3	20	20	20
36	362	362a	P0731	Fish_Cerrado_MS3	20	20	20
41	415	415a	P0737	Fish_Cerrado_MS3	20	20	20
44	442	442a	P0738	Fish_Cerrado_MS3	20	20	20
44	441	441a	P0739	Fish_Cerrado_MS3	20	20	20
44	441	441b	P0740	Fish_Cerrado_MS3	20	20	20
41	416	416a	P0742	Fish_Cerrado_MS3	20	20	20
62	621	621a	P0744	Fish_Cerrado_MS3	20	20	20
43	434	434b	P0745	Fish_Cerrado_MS3	20	20	20
42	422	422a	P0747	Fish_Cerrado_MS3	20	20	20
29	292	292b	P0748	Fish_Cerrado_MS3	20	20	20
28	281	281a	P0750	Fish_Cerrado_MS3	20	20	20
26	262	262b	P0751	Fish_Cerrado_MS3	20	20	20
26	264	264a	P0752	Fish_Cerrado_MS3	20	20	20
30	301	301a	P0753	Fish_Cerrado_MS3	20	20	20
37	371	371a	P0754	Fish_Cerrado_MS3	20	20	20
37	372	372a	P0755	Fish_Cerrado_MS3	20	20	20
35	352	352a	P0756	Fish_Cerrado_MS3	20	20	20
47	473	473a	P0758	Fish_Cerrado_MS3	20	20	20
122	1221	1221a	P0766	Fish_Cerrado_MS3	20	20	20
50	501	501b	P0780	Fish_Cerrado_MS3	20	20	20
39	392	392b	P0783	Fish_Cerrado_MS3	20	20	20
45	451	451a	P0784	Fish_Cerrado_MS3	20	20	20
26	262	262a	P0786	Fish_Cerrado_MS3	20	20	20
28	281	281b	P0787	Fish_Cerrado_MS3	20	20	20
26	261	261a	P0793	Fish_Cerrado_MS3	20	20	20
30	302	302a	P0798	Fish_Cerrado_MS3	20	20	20
30	302	302b	P0799	Fish_Cerrado_MS3	20	20	20
29	291	291a	P0802	Fish_Cerrado_MS3	20	20	20
54	542	542a	P0804	Fish_Cerrado_MS3	20	20	20
53	532	532a	P0805	Fish_Cerrado_MS3	20	20	20
50	501	501c	P0807	Fish_Cerrado_MS3	20	20	20
39	393	393a	P0810	Fish_Cerrado_MS3	20	20	20
54	541	541a	P0811	Fish_Cerrado_MS3	20	20	20
39	392	392a	P0812	Fish_Cerrado_MS3	20	20	20
38	383	383d	P0819	Fish_Cerrado_MS3	20	20	20
35	353	353a	P0821	Fish_Cerrado_MS3	20	20	20
36	361	361a	P0824	Fish_Cerrado_MS3	20	20	20
41	417	417a	P0825	Fish_Cerrado_MS3	20	20	20
43	432	432a	P0830	Fish_Cerrado_MS3	20	20	20
40	402	402a	P0832	Fish_Cerrado_MS3	20	20	20
38	383	383c	P0835	Fish_Cerrado_MS3	20	20	20
38	383	383b	P0836	Fish_Cerrado_MS3	20	20	20
38	383	383a	P0837	Fish_Cerrado_MS3	20	20	20
38	383	383e	P0844	Fish_Cerrado_MS3	20	20	20
42	421	421a	P0849	Fish_Cerrado_MS3	20	20	20
38	382	382a	P0872	Fish_Cerrado_MS3	20	20	20
41	413	413a	P0889	Fish_Cerrado_MS3	20	20	20
41	412	412a	P0890	Fish_Cerrado_MS3	20	20	20
