sub9;status_regional;status_upland;status_all
6;altered;altered;both
7;altered;altered;both
14;altered;altered;both
16;altered;altered;both
21;altered;altered;both
25;altered;altered;both
26;altered;altered;both
27;altered;altered;both
28;altered;altered;both
29;altered;altered;both
30;altered;altered;both
31;altered;altered;both
32;altered;altered;both
33;altered;altered;both
34;altered;altered;both
35;altered;altered;both
36;altered;altered;both
37;altered;altered;both
38;altered;altered;both
39;altered;altered;both
40;altered;altered;both
41;altered;altered;both
42;altered;altered;both
44;altered;altered;both
45;altered;altered;both
46;altered;altered;both
47;altered;altered;both
49;altered;altered;both
50;altered;altered;both
53;altered;altered;both
54;altered;altered;both
55;altered;altered;both
56;altered;altered;both
57;altered;altered;both
60;altered;altered;both
62;altered;altered;both
63;altered;altered;both
65;altered;altered;both
66;altered;altered;both
67;altered;altered;both
68;altered;altered;both
69;altered;altered;both
70;altered;altered;both
71;altered;altered;both
73;altered;altered;both
74;altered;altered;both
75;altered;altered;both
76;altered;altered;both
77;altered;altered;both
80;altered;altered;both
81;altered;altered;both
83;altered;altered;both
84;altered;altered;both
94;altered;altered;both
103;altered;altered;both
104;altered;altered;both
108;altered;altered;both
122;altered;altered;both
1;conserved;conserved;none
2;conserved;conserved;none
3;conserved;conserved;none
4;conserved;conserved;none
5;conserved;conserved;none
13;conserved;conserved;none
59;conserved;conserved;none
95;conserved;conserved;none
96;conserved;conserved;none
98;conserved;conserved;none
99;conserved;conserved;none
100;conserved;conserved;none
110;conserved;conserved;none
111;conserved;conserved;none
115;conserved;conserved;none
116;conserved;conserved;none
117;conserved;conserved;none
118;conserved;conserved;none
119;conserved;conserved;none
120;conserved;conserved;none
121;conserved;conserved;none
88;conserved;altered;only_upland
89;conserved;altered;only_upland
90;conserved;altered;only_upland
93;conserved;altered;only_upland
101;conserved;altered;only_upland
107;conserved;altered;only_upland
109;conserved;altered;only_upland
112;conserved;altered;only_upland
113;conserved;altered;only_upland
8;altered;conserved;only_regional
9;altered;conserved;only_regional
10;altered;conserved;only_regional
15;altered;conserved;only_regional
22;altered;conserved;only_regional
23;altered;conserved;only_regional
43;altered;conserved;only_regional
58;altered;conserved;only_regional
82;altered;conserved;only_regional
85;altered;conserved;only_regional
86;altered;conserved;only_regional
91;altered;conserved;only_regional
92;altered;conserved;only_regional
102;altered;conserved;only_regional
106;altered;conserved;only_regional
