Name_fish	9_sig	12_sig	Up_sig	Mont_temperaturamean	Mont_precmean	Geologia	_topografiaCV	Area	Fresh_ecor
P0057	40	403	403a	22.14708309	1438.5	rock	5.010055329	7.961	Up_Parana
P0060	39	393	393a	22.2798913	1469.5	rock	4.796880806	36.242	Up_Parana
P0066	38	383	383b	22.06964302	1435.571429	rock	1.890940042	5.272	Up_Parana
P0067	38	382	382a	22.3056602	1450.684625	rock	2.037448918	1.698	Up_Parana
P0070	39	392	392a	22.7376224	1477.62948	rock	3.509562056	0.781	Up_Parana
P0071	38	383	383e	22.2203704	1456.888889	rock	4.246414724	8.328	Up_Parana
P0072	38	383	383d	22.21111117	1454.888889	rock	3.843126609	14.561	Up_Parana
P0076	40	402	402a	22.64835855	1446.515152	rock	5.934164621	27.156	Up_Parana
P0077	39	392	392b	22.45676637	1476.581197	rock	7.16443104	95.404	Up_Parana
P0086	4	41	41b	18.73823514	1541.117647	rock	8.577345148	12.606	Low_Urugua
P0087	4	42	42a	18.72620056	1517.508475	rock	14.19567389	47.097	Low_Urugua
P0088	41	415	415a	21.98611111	1527.388889	rock	3.59576755	14.411	Up_Parana
P0089	41	411	411a	22.57916672	1500.428571	rock	5.078660331	81.886	Up_Parana
P0093	38	383	383c	22.12638855	1452.333333	rock	1.751773936	2.004	Up_Parana
P0094	38	383	383a	22.0533329	1445	rock	2.457214454	4.421	Up_Parana
P0096	41	417	417a	22.39674805	1484.658537	rock	4.569487574	33.923	Up_Parana
P0098	4	41	41a	18.59912295	1532.315789	rock	13.30172318	27.51	Low_Urugua
P0107	5	51	51a	20.5111742	1744.909091	rock	10.66182833	15.306	Low_Urugua
P0111	34	344	344b	21.52539294	1629.806851	rock	0.515990886	0.922	Up_Parana
P0112	36	362	362a	21.72191844	1571.885417	rock	6.019037211	75.843	Up_Parana
P0113	35	351	351a	21.5687499	1595.25	rock	1.327133672	2.707	Up_Parana
P0114	36	361	361a	21.82249996	1547.171429	rock	6.530761499	84.392	Up_Parana
P0118	34	343	343a	21.65555547	1630.266667	rock	4.523901605	22.267	Up_Parana
P0119	33	332	332a	21.68916702	1617	rock	3.685134151	4.413	Up_Parana
P0120	34	342	342a	21.4468751	1634.625	rock	4.303855321	6.218	Up_Parana
