9	12	Mont	Name_fish	Duration_70	Duration_50	Duration_30
119	1191	1191a	P0057	0	0	24
118	1181	1181b	P0060	0	0	0
116	1161	1161a	P0066	0	0	0
115	1151	1151a	P0067	0	0	0
117	1172	1172a	P0070	0	0	4
117	1171	1171b	P0071	0	0	4
117	1171	1171a	P0072	0	0	4
118	1182	1182a	P0076	0	0	0
118	1181	1181a	P0077	0	0	0
121	1211	1211a	P0086	0	0	14
121	1212	1212a	P0087	0	0	14
120	1202	1202a	P0088	0	0	14
119	1192	1192a	P0089	0	0	24
116	1162	1162a	P0093	0	0	0
115	1152	1152a	P0094	0	0	0
120	1203	1203a	P0096	0	0	14
120	1203	1203b	P0098	0	0	14
113	1131	1131a	P0111	0	0	0
113	1132	1132b	P0112	0	0	0
113	1131	1131b	P0113	0	0	0
113	1132	1132a	P0114	0	0	0
112	1121	1121c	P0118	0	0	0
112	1121	1121a	P0119	0	0	0
112	1121	1121b	P0120	0	0	0
112	1122	1122a	P0121	0	0	0
111	1112	1112a	P0124	0	0	0
111	1111	1111a	P0126	0	0	0
113	1133	1133a	P0132	0	0	0
113	1133	1133b	P0139	0	0	0
104	1041	1041a	P0215	25	33	33
104	1042	1042b	P0218	25	33	33
106	1061	1061a	P0234	0	16	24
107	1071	1071a	P0235	0	0	0
107	1072	1072b	P0236	0	0	0
107	1072	1072a	P0237	0	0	0
106	1062	1062a	P0245	0	16	24
106	1062	1062b	P0248	0	16	24
104	1041	1041b	P0254	25	33	33
104	1042	1042c	P0255	25	33	33
104	1042	1042a	P0256	25	33	33
103	1031	1031a	P0261	20	26	33
103	1032	1032a	P0262	20	26	33
101	1012	1012a	P0263	0	0	10
101	1013	1013a	P0264	0	0	10
101	1013	1013b	P0265	0	0	10
101	1011	1011a	P0266	0	0	10
102	1021	1021a	P0271	22	30	33
102	1022	1022a	P0272	22	30	33
102	1024	1024a	P0276	22	30	33
102	1023	1023a	P0277	22	30	33
1	11	11a	P0281	0	0	0
1	11	11b	P0282	0	0	0
1	12	12b	P0283	0	0	0
4	42	42a	P0289	0	0	0
4	41	41a	P0290	0	0	0
4	41	41b	P0291	0	0	0
5	51	51a	P0292	0	0	29
5	52	52a	P0293	0	0	29
5	51	51b	P0294	0	0	29
2	22	22a	P0301	0	0	0
2	22	22b	P0302	0	0	0
2	21	21a	P0303	0	0	0
3	31	31a	P0312	0	0	0
3	32	32a	P0314	0	0	0
1	12	12a	P0325	0	0	0
98	982	982a	P0333	0	0	28
98	982	982b	P0334	0	0	28
98	984	984a	P0339	0	0	28
98	983	983b	P0342	0	0	28
98	983	983c	P0343	0	0	28
99	991	991a	P0344	0	0	8
98	981	981a	P0345	0	0	28
99	991	991c	P0349	0	0	8
99	991	991b	P0350	0	0	8
99	992	992d	P0351	0	0	8
99	992	992b	P0352	0	0	8
99	992	992a	P0353	0	0	8
99	992	992c	P0354	0	0	8
100	1001	1001a	P0355	0	0	11
100	1001	1001b	P0356	0	0	11
100	1002	1002c	P0357	0	0	11
100	1002	1002a	P0358	0	0	11
100	1002	1002b	P0359	0	0	11
98	983	983a	P0361	0	0	28
94	941	941a	P0362	0	28	28
94	942	942a	P0363	0	28	28
94	941	941b	P0373	0	28	28
96	961	961a	P0377	0	0	1
95	952	952b	P0379	0	0	2
95	951	951a	P0380	0	0	2
95	952	952a	P0381	0	0	2
96	962	962a	P0382	0	0	1
96	962	962c	P0383	0	0	1
96	962	962b	P0384	0	0	1
81	811	811c	P0391	26	26	26
82	822	822a	P0392	26	26	26
82	821	821a	P0394	26	26	26
83	832	832a	P0398	26	26	26
82	822	822b	P0405	26	26	26
84	842	842a	P0407	26	26	26
84	841	841a	P0410	26	26	26
81	811	811a	P0413	26	26	26
83	831	831a	P0414	26	26	26
84	842	842b	P0419	26	26	26
81	812	812a	P0424	26	26	26
81	811	811b	P0425	26	26	26
82	821	821b	P0427	26	26	26
82	821	821c	P0428	26	26	26
77	772	772a	P0441	26	26	26
76	762	762a	P0444	26	26	26
77	772	772b	P0445	26	26	26
77	771	771a	P0450	26	26	26
76	762	762b	P0455	26	26	26
76	761	761a	P0461	26	26	26
88	882	882a	P0472	0	26	26
85	852	852a	P0474	9	26	26
89	891	891a	P0476	0	0	8
86	861	861a	P0477	1	26	26
90	901	901a	P0478	0	0	26
90	902	902a	P0480	0	0	26
85	851	851a	P0481	9	26	26
88	881	881a	P0482	0	26	26
85	852	852b	P0486	9	26	26
89	892	892a	P0489	0	0	8
86	862	862b	P0499	1	26	26
86	862	862a	P0507	1	26	26
80	801	801a	P0511	26	26	26
80	803	803a	P0513	26	26	26
80	802	802d	P0514	26	26	26
80	802	802a	P0518	26	26	26
80	802	802c	P0527	26	26	26
80	802	802b	P0536	26	26	26
34	342	342a	P0547	15	15	15
34	343	343a	P0548	15	15	15
33	333	333b	P0549	15	15	15
25	252	252a	P0553	15	15	15
32	322	322a	P0555	15	15	15
31	312	312a	P0556	15	15	15
25	251	251a	P0559	15	15	15
