ID_Point,ID_File,ID_Name,Group,Biome,Latitude,Longitude,Name,Description,Icon,X.Deforestation,Altitude,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,Density,Hand50,Hand100,Hand500,SA2001Tree,Slope,UTMZone,ClasseSolo,PercMA50m,PercMA100m,PercMA200m,PercMA500m,listabiomas
P0001,Ephe_MAtlantica_ES.xlsxP1,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.41075,-41.83433333,corrego1,Ephe_MAtlantica_ES,160,NA,2096.71,121.52,109.92,64.34,1715.77,202.43,32.94,169.49,136.43,101.85,140.52,97.83,1690.69,270.17,38.17,57.92,773.98,141.51,624.4,154.17,6.19,1273.25,1519.86,1579.28,32.61,26.08,24,Cambissolos Haplicos Tb Distroficos,0.11,0.16,0.42,0.58,ATLANTIC FOREST
P0002,Ephe_MAtlantica_ES.xlsxP2,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.62508333,-41.82419444,corrego2,Ephe_MAtlantica_ES,160,NA,1088.11,183.36,129.99,65.3,1920.02,275.35,78.67,196.68,199.66,161.36,204.36,156.67,1364.98,236.02,21.01,65.99,671.66,87.33,520.06,108.02,15.19,286.81,168.74,426.95,21.52,17.42,24,Cambissolos Haplicos Tb Distroficos,0.14,0.17,0.08,0.24,ATLANTIC FOREST
P0003,Ephe_MAtlantica_ES.xlsxP3,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.47208333,-41.82825,corrego3,Ephe_MAtlantica_ES,160,NA,2193.85,125.47,110.93,65,1718.55,206.06,36.54,169.52,140.06,105.54,145.06,101.47,1671.09,268.03,37.48,58,766.61,139.21,618.56,152.21,5.65,1289.72,1222.01,1446.19,33.24,11.79,24,Cambissolos Haplicos Tb Distroficos,0.46,0.71,0.84,0.82,ATLANTIC FOREST
P0004,Ephe_MAtlantica_ES.xlsxP4,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.88983333,-40.42833333,corrego4,Ephe_MAtlantica_ES,160,NA,74.99,245,92.24,62.19,1700.61,319.62,171.96,147.66,259.76,223,267.76,223,1142.47,192.38,36,53.04,519.85,134,334.85,134,25.41,3.92,4.76,74.11,26.4,21.61,24,Latossolos Vermelho-Amarelos Distroficos,0.07,0.12,0.2,0.24,ATLANTIC FOREST
P0005,Ephe_MAtlantica_ES.xlsxP5,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.18602778,-40.38555556,corrego5,Ephe_MAtlantica_ES,160,NA,126.51,247.04,82,60,1672.79,318.04,182.04,136,262,226.69,269.04,226.69,1110.57,185.36,45.65,47,477.69,156.96,293.32,156.96,25.41,125.18,34.94,124.46,9.58,0.67,24,Argissolos Amarelos Distrocoesos,0.57,0.33,0.33,0.36,ATLANTIC FOREST
P0006,Ephe_MAtlantica_ES.xlsxP6,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.05936111,-40.37852778,corrego6,Ephe_MAtlantica_ES,160,NA,34.54,246.41,86,61,1686.65,318.22,179.19,139.02,261.11,225.38,269.22,225.38,1114.92,187.49,41.11,49.19,490.69,148.11,305.72,148.11,21.18,4.44,20.03,33.66,25.4,7.7,24,Argissolos Amarelos Distrocoesos,0,0.04,0.19,0.25,ATLANTIC FOREST
P0007,Ephe_MAtlantica_ES.xlsxP7,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.34975,-40.42152778,corrego7,Ephe_MAtlantica_ES,160,NA,351.78,230.03,101,66,1590.14,305.03,154.01,151.02,242.63,209.03,250.38,209.03,1220.75,196,32.65,56,564.32,124.92,391.6,124.92,13.57,201.22,216.55,337.12,54.32,18.4,24,Latossolos Vermelho-Amarelos Distroficos,0.15,0.2,0.18,0.12,ATLANTIC FOREST
P0008,Ephe_MAtlantica_ES.xlsxP8,Ephe_MAtlantica_ES,Ephe,MAtlantica,-18.203,-40.07719444,corrego8,Ephe_MAtlantica_ES,160,NA,84.18,241.12,92.37,65.37,1502.79,311.12,171.12,140,253.1,222.49,260.12,220.12,1085.58,165.97,49.95,41,433.59,159.87,307.57,161.85,29.66,16.71,21.48,17.17,6.65,5.77,24,Argissolos Amarelos Distrocoesos,0,0,0.37,0.34,ATLANTIC FOREST
P0009,Ephe_MAtlantica_ES.xlsxP9,Ephe_MAtlantica_ES,Ephe,MAtlantica,-18.88458333,-40.20641667,corrego9,Ephe_MAtlantica_ES,160,NA,100.09,239.01,98.49,66,1525.27,313.4,165.47,147.93,250.94,218.96,258.96,218.96,1174.05,179,37.44,50.56,511.6,135.43,364.14,135.43,23.56,18.92,35.19,57.6,10.29,5.16,24,Argissolos Amarelos Distrocoesos,0,0.06,0.26,0.34,ATLANTIC FOREST
P0010,Ephe_MAtlantica_ES.xlsxP10,Ephe_MAtlantica_ES,Ephe,MAtlantica,-18.66427778,-40.51247222,corrego10,Ephe_MAtlantica_ES,160,NA,120.43,242.21,104,67.8,1503.56,317.62,165.92,151.7,254.21,222.12,261.62,222.12,1104.91,178.4,31.31,56,505.66,110.29,356.16,110.29,16.9,27.29,5.05,27.29,17.68,3.26,24,Latossolos Amarelos Distroficos,0,0,0,0.03,ATLANTIC FOREST
P0011,Ephe_MAtlantica_ES.xlsxP11,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.33358333,-40.51455556,corrego11,Ephe_MAtlantica_ES,160,NA,502.79,214.84,91.96,61.98,1690.28,289.83,141.87,147.96,229.3,194.3,236.84,193.31,1244.83,195.42,45,47,536.53,155.44,363.42,169.98,10.89,478.3,482.02,502.64,13.42,8.47,24,Cambissolos Haplicos Tb Distroficos,0.89,0.81,0.78,0.85,ATLANTIC FOREST
P0012,Ephe_MAtlantica_ES.xlsxP12,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.98672222,-41.18558333,corrego12,Ephe_MAtlantica_ES,160,NA,72.36,239.61,101.67,62,1866.35,320.61,157.94,162.67,255.98,216.61,262.98,215.98,1044.7,178.31,28.04,55.02,474.14,93.11,318.57,115.11,18.58,26.38,30.81,44.02,65.63,17.94,24,Argissolos Vermelhos Eutroficos,1,0.78,0.3,0.16,ATLANTIC FOREST
P0013,Ephe_MAtlantica_ES.xlsxP13,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.81091667,-40.89669444,corrego13,Ephe_MAtlantica_ES,160,NA,490.89,223.19,98,62,1800.31,302.62,144.92,157.7,239.19,201.37,245.92,200.19,1142.72,182.9,36.18,50.28,501.56,121.97,340.29,144.51,14.56,473.99,425.06,0,21.3,18.6,24,Cambissolos Haplicos Tb Distroficos,0.54,0.63,0.5,0.41,ATLANTIC FOREST
P0014,Ephe_MAtlantica_ES.xlsxP14,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.30641667,-41.74725,corrego14,Ephe_MAtlantica_ES,160,NA,738.5,204.14,127.89,65,1928.79,295.03,100.14,194.89,220.14,181.03,224.25,176.79,1254.07,222.73,19,69,636.59,74.96,479.46,91.96,13.55,102.24,122.4,221.07,70.09,13.67,24,Cambissolos Haplicos Tb Distroficos,0.28,0.49,0.42,0.43,ATLANTIC FOREST
P0015,Ephe_MAtlantica_ES.xlsxP15,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.32377778,-41.81263889,corrego15,Ephe_MAtlantica_ES,160,NA,779.93,187.98,127.85,65,1928.6,278.66,82.98,195.68,204.35,165.24,208.4,160.92,1332.96,236.24,19.42,67.63,668.26,82.45,511.68,99.72,11.17,193.46,428.35,262.5,39.98,20.06,24,Cambissolos Haplicos Tb Distroficos,0.95,0.82,0.82,0.81,ATLANTIC FOREST
P0016,Ephe_MAtlantica_ES.xlsxP16,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.08716667,-41.33169444,corrego16,Ephe_MAtlantica_ES,160,NA,678.93,206.57,119.6,65,1823.54,292.57,109.97,182.6,222.08,184.57,227.3,181.3,1269.96,218.11,24.51,64.22,625.36,93.06,457.58,109.06,26.53,68.39,160.31,328.59,26.51,16.62,24,Latossolos Vermelho-Amarelos Distroficos,0.52,0.46,0.4,0.44,ATLANTIC FOREST
P0017,Ephe_MAtlantica_ES.xlsxP17,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.15552778,-41.14230556,corrego17,Ephe_MAtlantica_ES,160,NA,484.25,221.45,114.87,65,1791.17,305.15,130.15,175,237.15,199.15,242.5,197.15,1217.53,208.82,26.08,61.87,590.54,97.64,417.97,113.95,28.24,42.5,76.96,61.79,25.4,13.73,24,Argissolos Vermelhos Eutroficos,0.25,0.15,0.11,0.06,ATLANTIC FOREST
P0018,Ephe_MAtlantica_ES.xlsxP18,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.81675,-41.012,corrego18,Ephe_MAtlantica_ES,160,NA,808.2,227.32,113.99,65.76,1709.22,308.79,137.32,171.47,241.33,205.32,247.56,203.55,1221.12,211.55,25.78,63.22,600.67,94.88,421.46,109.11,19.32,585.83,193.97,595.48,21.16,16.89,24,Argissolos Vermelhos Eutroficos,0.37,0.4,0.36,0.29,ATLANTIC FOREST
P0019,Ephe_MAtlantica_ES.xlsxP19,Ephe_MAtlantica_ES,Ephe,MAtlantica,-18.57752778,-40.28277778,corrego19,Ephe_MAtlantica_ES,160,NA,73.29,243.56,99.8,67.32,1504.6,317.96,170.08,147.88,255.48,223.08,262.96,223.08,1111.92,173,38,50,481.72,130,342.64,130,19.94,34.77,4.57,34.77,17.18,4.54,24,Argissolos Amarelos Distrocoesos,0,0,0.01,0.02,ATLANTIC FOREST
P0020,Ephe_MAtlantica_ES.xlsxP20,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.40208333,-41.26847222,corrego20,Ephe_MAtlantica_ES,160,NA,698.23,210.78,116.99,64.99,1822.49,296.78,117.78,179,226.03,188.78,231.26,185.78,1241.67,210.49,25.99,61.01,596.23,98.48,431.23,116.48,26.66,136.63,116.97,238.91,16.78,9.49,24,Cambissolos Haplicos Tb Distroficos,0.8,0.57,0.41,0.51,ATLANTIC FOREST
P0021,Ephe_MAtlantica_ES.xlsxP21,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.54969444,-40.85522222,corrego21,Ephe_MAtlantica_ES,160,NA,562.2,208.23,101.99,62.6,1754.48,288.6,127.24,161.36,223.6,187.25,229.66,185.23,1243.37,198.13,37.57,51.4,553.51,131.69,388.63,150.69,23.69,1.26,44.86,441.47,36.46,11.99,24,Latossolos Vermelho-Amarelos Distroficos,0.8,0.74,0.66,0.69,ATLANTIC FOREST
P0022,Ephe_MAtlantica_ES.xlsxP22,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.97933333,-40.88208333,corrego22,Ephe_MAtlantica_ES,160,NA,635.21,215.66,108.64,64.64,1728.57,296.02,129.66,166.36,229.84,193.71,236.66,192.17,1256.32,209.91,31.4,58.14,593.34,115.57,416.74,129.03,21.37,290.77,406.7,477.25,38.25,18.11,24,Latossolos Vermelho-Amarelos Distroficos,0.2,0.25,0.21,0.39,ATLANTIC FOREST
P0023,Ephe_MAtlantica_ES.xlsxP23,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.05763889,-40.77361111,corrego23,Ephe_MAtlantica_ES,160,NA,743.22,204.59,104.62,64,1696.24,284.22,121.59,162.62,218.97,183.97,225.53,182.03,1295.76,209.62,36.06,54,592.66,132.72,419.72,145.12,20.9,34.24,13.14,56.32,25.63,17.54,24,Latossolos Vermelho-Amarelos Distroficos,0.32,0.53,0.56,0.65,ATLANTIC FOREST
