pto;ID_Name;Latitude;Longitude
P0057;Fish_Amazonia_PA;-3.210043;-47.602725
P0060;Fish_Amazonia_PA;-3.365448;-47.834143
P0066;Fish_Amazonia_PA;-3.737259;-48.511228
P0067;Fish_Amazonia_PA;-3.782833;-48.51207
P0070;Fish_Amazonia_PA;-3.716832;-48.134219
P0071;Fish_Amazonia_PA;-3.757758;-48.116052
P0072;Fish_Amazonia_PA;-3.775184;-48.10423
P0076;Fish_Amazonia_PA;-3.398079;-47.777941
P0077;Fish_Amazonia_PA;-3.366245;-47.870424
P0086;Fish_Amazonia_PA;-3.021663;-46.949053
P0087;Fish_Amazonia_PA;-3.086545;-46.969354
P0088;Fish_Amazonia_PA;-3.192067;-47.017891
P0089;Fish_Amazonia_PA;-3.282473;-47.584629
P0093;Fish_Amazonia_PA;-3.669697;-48.514682
P0094;Fish_Amazonia_PA;-3.734168;-48.423867
P0096;Fish_Amazonia_PA;-3.084704;-47.117616
P0098;Fish_Amazonia_PA;-3.068438;-47.118609
P0107;Fish_Amazonia_PA;-2.841301;-55.006581
P0111;Fish_Amazonia_PA;-2.996719;-54.880581
P0112;Fish_Amazonia_PA;-3.039774;-54.91472
P0113;Fish_Amazonia_PA;-3.02558;-54.882136
P0114;Fish_Amazonia_PA;-3.042469;-55.020832
P0118;Fish_Amazonia_PA;-3.293359;-54.879609
P0119;Fish_Amazonia_PA;-3.259748;-54.884025
P0120;Fish_Amazonia_PA;-3.263803;-54.900581
P0121;Fish_Amazonia_PA;-3.297803;-54.964443
P0124;Fish_Amazonia_PA;-3.465332;-54.790525
P0126;Fish_Amazonia_PA;-3.379526;-54.805997
P0132;Fish_Amazonia_PA;-3.185608;-54.971637
P0139;Fish_Amazonia_PA;-3.187997;-54.984387
P0215;Fish_Amazonia_RO;-11.030736;-61.911585
P0218;Fish_Amazonia_RO;-9.421498;-61.821973
P0234;Fish_Amazonia_RO;-9.667455;-62.162111
P0235;Fish_Amazonia_RO;-9.104104;-62.098563
P0236;Fish_Amazonia_RO;-9.121469;-62.124572
P0237;Fish_Amazonia_RO;-9.122196;-62.125936
P0245;Fish_Amazonia_RO;-9.759255;-62.116894
P0248;Fish_Amazonia_RO;-9.806537;-62.147994
P0254;Fish_Amazonia_RO;-11.015002;-61.992865
P0255;Fish_Amazonia_RO;-11.057503;-61.979465
P0256;Fish_Amazonia_RO;-11.092017;-61.977586
P0261;Fish_Amazonia_RO;-11.469437;-61.797183
P0262;Fish_Amazonia_RO;-11.593197;-61.872206
P0263;Fish_Amazonia_RO;-12.873268;-60.462772
P0264;Fish_Amazonia_RO;-12.793207;-60.313832
P0265;Fish_Amazonia_RO;-12.796717;-60.253362
P0266;Fish_Amazonia_RO;-12.785675;-60.409268
P0271;Fish_Amazonia_RO;-11.734409;-61.388532
P0272;Fish_Amazonia_RO;-11.831469;-61.402675
P0277;Fish_Amazonia_RO;-11.870273;-61.426755
P0281;Fish_CamposSulinos_RS;-32.231235;-53.436979
P0282;Fish_CamposSulinos_RS;-32.241086;-53.454674
P0283;Fish_CamposSulinos_RS;-32.252567;-53.39548
P0289;Fish_CamposSulinos_RS;-30.304496;-55.92623
P0290;Fish_CamposSulinos_RS;-30.292338;-55.966083
P0291;Fish_CamposSulinos_RS;-30.28349;-55.97125
P0292;Fish_CamposSulinos_RS;-28.544939;-55.480953
P0293;Fish_CamposSulinos_RS;-28.552564;-55.437127
P0294;Fish_CamposSulinos_RS;-28.51503;-55.469611
P0301;Fish_CamposSulinos_RS;-30.854714;-53.22713
P0302;Fish_CamposSulinos_RS;-30.85017;-53.240583
P0303;Fish_CamposSulinos_RS;-30.823874;-53.194339
P0312;Fish_CamposSulinos_RS;-30.809709;-55.537394
P0314;Fish_CamposSulinos_RS;-30.605547;-55.376349
P0325;Fish_CamposSulinos_RS;-32.256;-53.37567
P0333;Fish_Cerrado_GO;-13.797861;-48.802583
P0334;Fish_Cerrado_GO;-13.776889;-48.828491
P0339;Fish_Cerrado_GO;-13.747194;-48.866556
P0342;Fish_Cerrado_GO;-13.833944;-48.908333
P0343;Fish_Cerrado_GO;-13.826722;-48.902556
P0344;Fish_Cerrado_GO;-13.444444;-48.602806
P0345;Fish_Cerrado_GO;-13.743056;-48.833889
P0349;Fish_Cerrado_GO;-13.480833;-48.620722
P0350;Fish_Cerrado_GO;-13.481944;-48.650611
P0351;Fish_Cerrado_GO;-13.558722;-48.674194
P0352;Fish_Cerrado_GO;-13.546417;-48.681722
P0353;Fish_Cerrado_GO;-13.511944;-48.651667
P0354;Fish_Cerrado_GO;-13.522333;-48.646861
P0355;Fish_Cerrado_GO;-13.417194;-48.607028
P0356;Fish_Cerrado_GO;-13.392222;-48.602611
P0357;Fish_Cerrado_GO;-13.363611;-48.59925
P0358;Fish_Cerrado_GO;-13.339778;-48.612861
P0359;Fish_Cerrado_GO;-13.283944;-48.626722
P0361;Fish_Cerrado_GO;-13.813389;-48.891278
P0362;Fish_Cerrado_GO;-15.0765;-48.9658
P0363;Fish_Cerrado_GO;-15.0947;-48.9862
P0371;Fish_Cerrado_GO;-14.955;-48.9454
P0373;Fish_Cerrado_GO;-15.0503;-48.9555
P0377;Fish_Cerrado_GO;-14.3407;-48.3391
P0379;Fish_Cerrado_GO;-14.3687;-48.7169
P0380;Fish_Cerrado_GO;-14.3939;-48.8105
P0381;Fish_Cerrado_GO;-14.4211;-48.7353
P0382;Fish_Cerrado_GO;-14.3899;-48.3583
P0383;Fish_Cerrado_GO;-14.4501;-48.3702
P0384;Fish_Cerrado_GO;-14.4303;-48.3807
P0391;Fish_Cerrado_MG;-19.306411;-47.542821
P0392;Fish_Cerrado_MG;-19.35887;-47.216649
P0394;Fish_Cerrado_MG;-19.23303;-47.215573
P0398;Fish_Cerrado_MG;-19.017444;-46.873111
P0405;Fish_Cerrado_MG;-19.306116;-47.121536
