ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_falcatus,Aequidens_gerciliae,Ancistrus_sp_1,Ancistrus_sp_2,Ancistrus_sp_3,Ancistrus_sp_4,Ancistrus_sp_5,Anostomus_ternetzi,Aphyocharax_sp.,Astyanax_aff_bimaculatus,Astyanax_cf_anterior,Astyanax_cf_maximus,Astyanax_sp,Boulengerella_maculata,Brachyhypopomus_cf_sullivani,Brycon_falcatus,Bryconops_cf_caudomaculatus,Bryconops_cf_giacopinii,Callichthys_callichthys,Caquetaia_spectabilis,Cetopsis_aff_sandrae,Cetopsorhamdia_sp_1,Characidium_aff_zebra,Characidium_sp_,Cichla_cf_mirianae,Corydoras_cf_bondi,Corydoras_cf_polystictus,Corydoras_sp,Creagrutus_ignotus,Creagrutus_petilus,Crenicichla_aff_acutirostris,Crenicichla_aff_isbrueckeri,Crenicichla_aff_semicincta,Crenicichla_cf_hemera,Curculionichthys_itaim,Cyphocharax_gangamon,Cyphocharax_notatus,Cyphocharax_spiluropsis,Eigenmannia_aff_trilineata,Elachocharax_pulcher,Erythrinus_erythrinus,Farlowella_smithi,Geophagus_cf_altifrons,Geophagus_mirabilis,Gymnorhamphichthys_rondoni,Gymnotus_cf_carapo,Hemigrammus_aff_ocellifer,Hemigrammus_cf_geisleri,Hemigrammus_cf_lunatus,Hemigrammus_cf_parana,Hemigrammus_cf_rodwayi,Hemigrammus_microstomus,Hemigrammus_silimoni,Hemigrammus_sp_1,Hemiodus_sp,Hemiodus_sterni,Heros_spurius,Hoplerythrinus_unitaeniatus,Hoplias_cf_malabaricus,Hyphessobrycon_aff_agulha,Hyphessobrycon_peugeoti,Hyphessobrycon_sp_2,Hyphessobrycon_vilmae,Hypostomus_sp_1,Hypostomus_sp_2,Hypostomus_sp_3,Hypostomus_sp_4,Hypostomus_sp_5,Hypostomus_sp_6,Imparfinis_sp_1,Imparfinis_sp_2,Imparfinis_sp_3,Inpaichthys_kerri,Ituglanis_cf_amazonicus,Ituglanis_sp,Jubiaba_cf_apenima,Jupiaba_acanthogaster,Jupiaba_anteroides,Jupiaba_meunieri,Jupiaba_pirana,Knodus_sp_1,Knodus_sp_2,Lasiancistrus_schomburgkii,Leporinus_cf_britski,Leporinus_cf_santosi,Leporinus_friderici,Leporinus_gomesi,Leporinus_reticulatus,Loricaria_sp,Mastiglanis_cf_asopos,Megalechis_thoracata,Melanocharacidium_cf_auroradiatum,Microglanis_aff_poecilus,Moenkhausia_aff_cotinho,Moenkhausia_cf_collettii,Moenkhausia_cf_pirauba,Moenkhausia_gr_lepidura,Moenkhausia_levidorsa,Moenkhausia_mikia,Moenkhausia_oligolepis,Moenkhausia_pankilopteryx,Myloplus_asterias,Myoglanis_sp,Nannorhamdia_stictonota,Oreochromis_niloticus,Pamphorichthys_cf_scalpidrens,Parauchenipterus_porosus,Parodon_cf_buckleyi,Parotocinclus_aripuanensis,Phenacogaster_retropinnus,Phenacorhamdia_sp,Pimelodella_cf_howesi,Poptella_compressa,Prochilodus_nigricans,Rhamdia_aff_quelen,Rineloricaria_lanceolata,Rineloricaria_sp,Serrapinnus_aff_notomelas,Serrapinnus_cf_microdon,Serrapinnus_cf_micropterus,Spatuloricaria_evansii,Stegophilus_panzeri,Steindachnerina_fasciata,Sternopygus_macrurus,Synbranchus_cf_madeirae,Tatia_cf_aulopygia,Tetragonopterus_argenteus,Tetragonopterus_chalceus,Thayeria_cf_obliqua,Utiaritichthys_longidorsalis
P3216,-10.196428,-59.488555,A01,Fish_Amazonia_MT,158,NA,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,2,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,19,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,4,0,0,0,0
P3217,-10.155108,-59.435033,A02,Fish_Amazonia_MT,158,NA,0,1,0,0,0,0,0,0,0,0,101,117,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3218,-10.162795,-59.440382,A03,Fish_Amazonia_MT,158,NA,0,0,0,0,0,0,0,0,0,0,84,22,0,0,0,0,0,0,1,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,2,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3219,-10.177817,-59.369902,A04,Fish_Amazonia_MT,158,NA,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3220,-10.127209,-59.425693,A05,Fish_Amazonia_MT,158,NA,0,0,0,0,1,0,0,0,1,1,0,7,0,1,0,0,16,0,0,5,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,1,17,0,0,0,0,16,0,0,1,0,1,87,0,0,0,127,88,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,1,3,0,0,0,8,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,113,0,0,35,24,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0
P3221,-10.190479,-59.409385,A06,Fish_Amazonia_MT,158,NA,0,8,0,0,0,10,0,0,0,3,0,0,2,0,0,0,67,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
P3222,-10.018266,-59.432227,A07,Fish_Amazonia_MT,158,NA,0,0,2,0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3223,-10.046039,-59.456332,A08,Fish_Amazonia_MT,158,NA,0,0,0,0,2,0,0,0,0,0,30,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,12,0,6,0,0,65,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P3224,-9.900258,-59.191291,A09,Fish_Amazonia_MT,158,NA,0,0,0,0,0,14,0,0,0,0,6,25,0,0,0,0,2,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P3225,-9.913694,-59.118771,A10,Fish_Amazonia_MT,158,NA,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
