ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acanthodoras_cataphractus,Acaronia_nassa,Acestrorhynchus_falcatus,Aequidens_epae,Aequidens_tetramerus,Ancistrus_sp_bola,Ancistrus_sp_dois_bigodes,Apistogramma_aff_regani,Apistogramma_agassizii,Apistogramma_caetei,Apistogramma_taeniata,Apteronotus_albifrons,Astyanax_cf_bimaculatus,Astyanax_maculisquamis,Bario_steindachneri,Batrochoglanis_raninus,Brachyhypopomus_beebei,Brachyhypopomus_brevirostris,Brachyglanis_microphthalmus,Brachyhypopomus_sp_electropomus,Brachyhypopomus_sp_regani,Brachyhypopomus_sp_royeroi,Bryconops_caudomaculatus,Bryconops_melanurus,Bunocephalus_cf_amaurus,Bunocephalus_coracoideus,Callichthys_callichthys,Characidium_aff_pteroides,Characidium_cf_etheostoma,Charax_leticiae,Cichla_kelberi,Copella_arnoldi,Copella_nigrofasciata,Copella_sp_pyrr_,Corydoras_julii,Corydoras_sp_C24,Crenicichla_aff_lepidota,Crenicichla_aff_menezesi,Creagrutus_ignotus,Crenicichla_inpa,Crenicichla_johanna,Crenuchus_spilurus,Crenicichla_strigata,Curimatopsis_macrolepis,Cyphocharax_gouldingi,Denticetopsis_seducta,Eigenmannia_aff_trilineata,Erythrinus_erythrinus,Farlowella_platorynchus,Farlowella_schreitmuelleri,Gasteropelecus_sternicla,Geophagus_altifrons,Gladioglanis_conquistador,Gymnotus_carapo,Gymnotus_coropinae,Gymnorhamphichthys_petiti,Gymnocorymbus_thayeri,Helogenes_marmoratus,Hemiodontichthys_acipenserinus,Hemigrammus_bellottii,Hemigrammus_guyanensis,Hemigrammus_levis,Hemigrammus_ocellifer,Hemigrammus_rhodostomus,Hemigrammus_rodwayi,Hemigrammus_sp_geisleri,Hemigrammus_sp_prata,Hemigrammus_stictus,Hemigrammus_vorderwinkleri,Heros_notatus,Hoplias_curupira,Hoplias_malabaricus,Hoplerythrinus_unitaeniatus,Hypostomus_cf_cochliodon,Hyphessobrycon_copelandi,Hyphessobrycon_heterorhabdus,Hypopygus_lepturus,Hyphessobrycon_sp_túlio,Hypselecara_temporalis,Iguanodectes_rachovii,Iguanodectes_variatus,Imparfinis_sp_linha_continua,Imparfinis_stictonotus,Ituglanis_amazonicus,Jupiaba_anteroides,Knodus_cf_victoriae,Knodus_savannensis,Knodus_spn_anal_longa,Laetacara_curviceps,Leporinus_friderici,Mastiglanis_asopos,Megalechis_picta,Melanocharacidium_dispilomma,Mesonauta_festivus,Microsternarchus_bilineatus,Microschemobrycon_geisleri,Microcharacidium_weitzmani,Moenkhausia_celibela,Moenkhausia_collettii,Moenkhausia_conspicua,Moenkhausia_comma,Moenkhausia_oligolepis,Moenkhausia_sp_lepidura_curta,Myloplus_rubripinnis,Nannostomus_beckfordi,Nannostomus_eques,Nannostomus_marginatus,Nannostomus_nitidus,Nannacara_taenia,Nannostomus_trifasciatus,Otocinclus_hoppei,Parotocinclus_sp,Parotocinclus_sp_bicudinho,Phenacogaster_cf_pectinatus,Phenacogaster_cf_wayana,Pimelodella_sp_serra_forte,Pimelodella_sp_sem_serra,Poptella_brevispina,Poptella_compressa,Potamorrhaphis_eigenmanni,Pristella_maxillaris,Pyrrhulina_aff_brevis,Pyrrhulina_zigzag,Rhamphichthys_marmoratus,Rhamdia_muelleri,Rhamdia_quelen,Rineloricaria_sp_2_madeira_,Rivulus_cf urophthalmus,Rivulus_dibaphus,Satanoperca_jurupari,Serrapinnus_aff_piaba,Serrasalmus_rhombeus,Serrasalmus_sp_robertsoni,Steindachnerina_amazonica,Steatogenys_duidae,Sternopygus_macrurus,Synbranchus_madeirae,Synbranchus_sp_pintado,Tatia_aff_dunni,Tatia_intermedia,Tetranematichthys_wallacei,Tometes_sp,Trachelyopterus_galeatus,Trichomycterus_hasemani
P0049,-2.762703,-47.871188,igarapé1,fish_Amazonia_PA,157,38.59,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,203,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,97,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,12,0,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0050,-2.747055,-47.855263,igarapé2,fish_Amazonia_PA,157,52.45,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,217,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0051,-2.90183,-47.701693,igarapé3,fish_Amazonia_PA,157,27.54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,29,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,2,0,0,0,0,10,0,0,0,0,1,1,0,0,2,0,0,17,16,0,0,1,0,0,0,3,0,0,0,1,0,1,0,38,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P0052,-2.901718,-47.695643,igarapé4,fish_Amazonia_PA,157,22.57,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,4,1,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,28,0,43,0,0,0,0,0,0,1,1,6,0,12,0,0,0,2,21,0,2,9,0,0,0,1,0,1,0,0,0,25,10,0,0,14,0,0,0,2,8,0,0,0,0,2,0,0,0,0,10,0,8,0,0,0,2,6,46,0,0,0,0,0,11,35,0,0,0,3,0,0,0,0,0,0,0,22,0,0,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P0053,-2.912557,-47.679301,igarapé5,fish_Amazonia_PA,157,43.02,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,208,7,64,273,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0054,-2.94069,-46.800658,igarapé6,fish_Amazonia_PA,157,32.82,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,13,4,0,0,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
P0055,-3.1294,-46.87297,igarapé7,fish_Amazonia_PA,157,9.81,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,104,0,0,0,65,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,3,9,1,0,19,0,7,0,1,0,0,0,0,0,1,7,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,14,0,0,0,27,0,0,0,0,1,0,0,0,2,0,0,1,0
P0056,-3.200595,-47.625126,igarapé8,fish_Amazonia_PA,157,14.06,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0057,-3.210043,-47.602725,igarapé9,fish_Amazonia_PA,157,3.15,0,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,159,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0058,-3.295341,-47.182912,igarapé10,fish_Amazonia_PA,157,2.11,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,43,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,28,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
