ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus brevipinnis,Ancistrus taunay,Aphyocharax anisitsi,Apistogramma commbrae,Astyanax dissensus,Astyanax eigenmanniorum,Astyanax fasciatus,Astyanax henseli,Astyanax lacustris,Astyanax laticeps,Astyanax procerus,Astyanax saguazu,Astyanax sp1,Astyanax sp2,Astyanax stenohalinos,Astyanax xiru,Australoheros facetus,Australoheros minuano,Australoheros scitulus,Brachyhypopomus bombilla,Bryconamericus iheringii,Bunocephalus doriae,Callichthys callichthys,Characidium occidentale,Characidium orientale,Characidium pterostictum,Characidium tenue,Characidium zebra,Charax stenopterus,Cheirodon ibicuhiensis,Cheirodon interruptus,Cichlasoma dimerus,Cnesterodon decemmaculatus,Corydoras paleatus,Corydoras sp,Corydoras undulatus,Crenicichla lepidota,Crenicichla punctata,Crenicichla scotti,Cyphocharax saladensis,Cyphocharax spilotus,Cyphocharax voga,Diapoma alegretensis,Diapoma speculiferum,Diapoma terofali,Diapoma tipiaia,Diapoma uruguayensis,Eigenmannia trilineata,Gymnogeophagus gymnogenys,Gymnogeophagus labiatus,Gymnogeophagus mekinos,Gymnogeophagus meridionalis,Gymnogeophagus pseudolabiatus,Gymnogeophagus rhabdotus,Gymnotus carapo,Hemiancistrus fuliginosus,Hemiancistrus punctulatus,Heptapterus mustelinus,Heptapterus sp,Heptapterus sympterygium,Heterocheirodon yatai,Hisonotus armatus,Hisonotus charrua,Hisonotus laevior,Hisonotus notopagos,Hisonotus ringueleti,Homodiaetus anisitsi,Hoplias malabaricus,Hyphessobrycon anisitsi,Hyphessobrycon luetkenii,Hyphessobrycon meridionalis,Hyphessobrycon togoi,Hypobrycon sp,Hypostomus aspilogaster,Hypostomus commersoni,Hypostomus uruguayensis,Imparfinis mishky,Ituglanis australis,Ituglanis sp,Microglanis cottoides,Mimagoniates inequalis,Moenkhausia dichroura,Odontostilbe pequira,Oligosarcus jacuiensis,Oligosarcus jenynsii,Oligosarcus oligolepis,Oligosarcus robustus,Oligosarcus sp,Otocinclus arnoldi,Otocinclus flexilis,Phalloceros caudimaculatus,Pimelodella australis,Pseudobunocephalus iheringii,Pseudocorynopoma doriae,Pseudohemiodon laticeps,Pseudoheptapterus sp,Rhamdella eriarcha,Rhamdella longiuscula,Rhamdia quelen,Rineloricaria baliola,Rineloricaria cadeae,Rineloricaria longicauda,Rineloricaria microlepidogaster,Rineloricaria sp,Rineloricaria stellata,Rineloricaria strigilata,Scleronema aff operculatum,Scleronema minutum,Scleronema operculatum,Scleronema sp1 ibicui,Scleronema sp2 quarai,Serrapinnus calliurus,Steindachnerina biornata,Steindachnerina brevipinna,Synbranchus marmoratus,Trichomycterus poikilos
P0278,-29.763297,-55.381141,ALE1301,fish_CamposSulinos_RS,156,54.68066459,0,2,0,0,2,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0279,-29.768941,-55.398571,ALE1302,fish_CamposSulinos_RS,156,20.27651155,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,1,0,0,0,0,2,0
P0280,-29.780183,-55.415024,ALE1303,fish_CamposSulinos_RS,156,68.74773291,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0
P0281,-32.231235,-53.436979,JAG1401,fish_CamposSulinos_RS,156,56.63078133,7,0,0,0,1,6,0,1,0,3,0,0,0,0,7,0,0,0,0,0,37,0,0,0,0,17,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,17,0,0,0,0,3,0,32,0,1,0,0,0,2,26,0,0,0,0,0,0,7,0
P0282,-32.241086,-53.454674,JAG1402,fish_CamposSulinos_RS,156,32.97035407,3,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,31,0,0,0,5,13,0,0,0,0,27,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,85,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,15,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,33,1,0,6,0,0,0,0,1,0,24,0,0,0,0,0,14,51,0,0,0,0,1,0,5,0
P0283,-32.252567,-53.39548,JAG1403,fish_CamposSulinos_RS,156,68.40155546,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,22,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,1,0,0,0,2,0,21,0,0,0,0,7,0,0,0,0,0,95,0,0,0,1,0,0,0,0,0,35,6,0,2,0,0,0,0,0,0,38,0,0,0,0,0,5,135,0,0,0,0,0,0,19,0
P0284,-30.922966,-54.503307,LAV14010,fish_CamposSulinos_RS,156,90.74130178,0,1,0,0,0,0,0,10,26,4,0,0,0,0,0,0,0,1,0,0,187,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,116,0,1,0,0,0,0,0,60,0,0,6,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,62,0,0,0,0,0,0,0,0,0,0,19,0,0,31,0,0,0,0,4,0,1,0
P0285,-30.791678,-54.39869,LAV1401,fish_CamposSulinos_RS,156,76.65478506,0,0,0,0,0,0,0,0,11,0,6,0,6,0,0,0,0,2,0,0,191,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
P0286,-30.801192,-54.414419,LAV1402,fish_CamposSulinos_RS,156,42.73917792,0,8,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,150,0,0,6,0,5,0,0,1,0,1,0,0,0,0,0,4,0,18,0,0,0,137,0,4,0,0,0,0,0,17,0,0,6,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,24,0,0,23,0,0,0,0,0,0,0,0
P0287,-30.783288,-54.439343,LAV1403,fish_CamposSulinos_RS,156,22.06865753,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,30,0,1,0,0,0,0,0,22,2,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0
