ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus_cf_aguaboensis,Ancistrus_sp_1,Ancistrus_sp_2,Apareiodon_machrisi,Apteronotus_camposdapazi,Aspidoras_albater,Astyanax_elachlepis,Astyanax_cf_goyanensis,Astyanax_aff_Scabripinnis,Astyanax_novae,Bryconops_cf_caudomaculatus,Bryconops_melanurus,Cetopsis_arcana,Cetopsorhamdia_cf_iheringi,Cetopsis_cf_plumbea,Cetopsorhamdia_molinae,Cetopsorhamdia_sp,Characidium_aff_zebra,Cichlasoma_araguaiense,Corumbataia_tocantinensis,Corumbataia_sp,Creagrutus_britskii,Creagrutus_cf_strisignum,Crenicichla_labrina,Ctenocheirodon_pristis,Eigenmannia_sp,Farlowella_cf_oxyrhyncha,Gymnotus_aff_carapo,Harttia_punctata,Hemiancistrus_cerrado,Hemigrammus_ataktos,Hoplias_malabaricus,Hypostomus_ericae,Hypostomus_sp1,Hypostomus_sp2,Imparfinis_cf_borodini,Imparfinis_cf_schubarti,Ituglanis_sp,Jupiaba_apenina,Jupiaba_sp,Knodus_cf_chapadae,Knodus_sp,Leporinus_friderici,Leporinus_sp,Loricaria_sp,Moenkhausia_aurantia,Moenkhausia_sp,Moenkhausia_oligolepis,Moenkhausia_pankilopteryx,Nannoplecostomus_eleonorae,Phenacogaster_sp,Phenacorhamdia_sp,Pimelodella_sp,Pseudopimelodus_pulcher,Retroculus_lapidifer,Rhamdia_aff_quelen,Rhamdia_cf_itacaiunas,Rineloricaria_lanceolata,Rineloricaria_osvaldoi,Serrapinnus_tocantincensis,Spatuloricaria_cf_evansii,Steindachnerina_amazonica,Sternopygus_macrurus,Synbranchus_cf_marmoratus,Trichomycterus_sp
P0333,-13.797861,-48.802583,P1,fish_Cerrado_GO,160,39.85516141,0,0,4,1,0,1,0,0,0,10,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,4,3,0,0,2,0,2,1,0,0,0,0,0,99,0,0,0,0,0,0,3,0,0,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0
P0334,-13.776889,-48.828491,P2,fish_Cerrado_GO,160,21.45565095,0,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,65,0,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
P0335,-13.982833,-49.071278,P3,fish_Cerrado_GO,160,56.48096924,0,0,0,3,0,13,2,0,0,22,0,0,0,0,0,0,0,161,1,0,0,23,0,3,0,0,0,1,21,7,2,3,0,30,1,0,1,0,0,0,230,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
P0336,-13.96975,-48.984333,P4,fish_Cerrado_GO,160,23.69874724,0,0,32,0,1,4,0,0,0,21,0,0,0,0,0,0,0,20,1,0,0,16,0,0,0,0,0,0,0,0,17,0,0,0,4,0,1,0,0,0,37,0,0,0,0,0,0,6,0,0,0,1,9,0,0,0,0,0,0,0,10,1,0,0,0
P0337,-13.905917,-48.979139,P5,fish_Cerrado_GO,160,42.08842555,0,0,13,1,1,1,0,0,0,12,0,0,0,0,0,0,0,70,5,0,0,18,0,0,0,0,0,0,6,0,65,1,0,13,15,0,3,0,0,0,79,0,0,0,0,0,0,8,0,0,0,15,5,0,0,0,1,0,0,48,4,20,1,0,0
P0338,-13.908083,-48.929139,P6,fish_Cerrado_GO,160,38.80233341,0,0,1,4,0,33,0,0,0,9,0,0,0,0,0,0,0,110,1,0,0,10,0,0,0,0,0,0,19,0,0,4,0,5,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
P0339,-13.747194,-48.866556,P7,fish_Cerrado_GO,160,23.91321139,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,30,2,0,0,1,0,0,0,0,0,101,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
P0340,-13.745222,-48.863306,P8,fish_Cerrado_GO,160,27.0363558,0,0,28,4,2,2,22,0,0,9,0,3,0,0,0,0,0,54,0,0,0,6,0,0,0,0,0,0,9,0,2,0,0,8,11,0,0,0,0,0,51,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,10,1,1,0,0
P0341,-13.860083,-48.917389,P9,fish_Cerrado_GO,160,35.35954243,0,18,2,0,0,23,0,0,0,23,0,0,0,0,0,0,0,57,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,4,5,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0
P0342,-13.833944,-48.908333,P10,fish_Cerrado_GO,160,11.08139054,0,2,20,5,0,23,4,0,0,22,0,0,0,0,1,0,0,97,0,0,0,3,0,0,0,1,0,3,11,0,3,0,0,6,11,0,0,0,0,0,95,0,0,0,0,0,0,0,0,59,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
