ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Apareiodon_piracicabae,Aphyocharax_anisitsi,Apistogramma_combrae,Astyanax_sp,Astyanax_lacustris,Astyanax_fasciatus,Bryconamericus_stramineus,Bryconamericus_turiuba,Callichthys_callicchthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_zebra,Cichlasoma_paranaense,Corydoras_aeneus,Clarias_gariepinus,Crenicichla_britskii,Cyphocarax_sp,Eigenmannia_trilineata,Erythrinus_erythrinus,Geophagus_brasilensis,Gymnotus_inaquilabiatus,Hemigrammus_marginatus,Hisonotus_insperatus,Othothiropsis_marapoama,Othothiropsis_polyodon,Hoplerythrinus_unitaeniatus,Hoplias_sp1,Hoplias_sp2,Hoplias_sp3,Hoplosternum_littorale,Hyphessobrycon_anisitsi,Hyphessobrycon_eques,Hypostomus_albopunctatus,Hypostomus_ancistroides,Hypostomus_iheringii,Hypostomus_sp,Hypostomus_strigaticeps,Imparfinis_borodini,Imparfinis_schubarti,Knodus_moenkhausii,Laetocaria_araguaia,Leporinus_amblyrhynchus,Leporinus_friderici,Leporinus_striatus,Moenkhausia_bonita,Moenkhausia_foresti,Moenkhausia_intermedia,Odontostilbe_sp,Oligosarcus_pintoi,Parauchenipterus_galeatus,Parodon_nasus,Phalloceros_harpagos,Phallotorynus_pankallus,Phenacorhandia_tenebrosa,Piabina_argentea,Pimelodella_gracilis,Pimelodus_maculatus,Potamotrygon_falkneri,Prochilodus_lineatus,Psellogrammus_kennedyi,Pseudoplatystoma_corruscans,Pyrrhulina_australis,Rhamdia_quelen,Rineloricaria_latirostris,Rineloricaria_Lanceolata,Melanorivulus_apiamici,Salminus_brasiliensis,Salminus_hilarii,Schizodon_nasutus,Scoloplax_empousa,Serrapinnus_notomelas,Serrapinus_sp,Sorubim_lima,Steindachinerina_brevipina,Steindachnerina_insculpta,Sternopygus_macrurus,Synbranchus_marmoratus,Tilapia_rendalli
P0546,-22.91117,-55.40256,AM1,Fish_Cerrado_MS,150,NA,0,0,0,0,0,1,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0547,-22.94919,-55.59873,AM2,Fish_Cerrado_MS,150,NA,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0548,-23.05401,-55.58702,AM3,Fish_Cerrado_MS,150,NA,0,0,0,43,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0549,-23.14588,-55.17215,AM4,Fish_Cerrado_MS,150,NA,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0550,-23.11029,-54.93577,AM5,Fish_Cerrado_MS,150,NA,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
P0551,-22.86108,-54.7002,AM6,Fish_Cerrado_MS,150,NA,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0552,-23.00119,-54.30733,AM7,Fish_Cerrado_MS,150,NA,0,0,0,0,4,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P0553,-23.07698,-54.15405,AM8,Fish_Cerrado_MS,150,NA,0,0,0,29,10,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0554,-22.72305,-54.93172,AM9,Fish_Cerrado_MS,150,NA,0,0,0,0,11,1,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0555,-22.77628,-54.99106,AM10,Fish_Cerrado_MS,150,NA,0,0,0,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P0556,-22.64717,-54.82694,AM11,Fish_Cerrado_MS,150,NA,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P0557,-23.26721,-53.98981,AM12,Fish_Cerrado_MS,150,NA,0,0,0,75,0,0,0,0,0,0,0,0,3,0,0,6,0,12,0,0,0,98,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
