ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_pantaneiro,Ancistrus_sp1_lisa,Ancistrus_sp2_vermiculada,Apareiodon_affinis,Aphyocharax_dentatus,Aphyocharax_rathbuni,Aphyocharax_nattereri,Apistograma_trifasciata,Astyanax_lacustris,Astyanax_lineatus,Astyanax_marionae,Astyanax_sp1,Astyanax_sp2,Brachychalcinus_retrospina,Brachyhypopomus_spC,Bryconamericus_stramineus,Bryconamericus_exodon,Brycon_hilarii,Bryconops_melanurus,Bunocephalus_doriae,Callichthys_callichthys,Chaetobranchopsis_australis,Characidium_gomesi,Characidium_laterale,Characidium_sp,Characidium_sp1,Characidium_zebra,Cichlasoma_dimerus,Corydoras_aeneus,Corydoras_aurofrenatus,Creagrutus_meridionalis,Crenicichla_lepidota,Cyphocharax_gillii,Eigenmannia_desantonai,Farlowella_paraguayensis,Gymnotus_sp,Gymnotus_paraguensis,Hemigrammus_lunatus,Hypostomus_basilisko,Hoplias_sp2,Hyphessobrycon_eques,Hyphessobrycon_luetknii,Hypostomus_cochliodon,Hypostomus_khimaera,Hypostomus_latirostris,Hypostomus_boulengeri,Imparfinis_stictonatus,Imparfinis_sp,Imparfinis_sp1,Ituglanis_eichorniarium,Jupiaba_acanthogaster,Leporellus_vittatus,Leporinus_friderici,Leporinus_lacustris,Leporinus_striatus,Loricaria_luciae,Moenkhausia_bonita,Moenkhausia_dichroura,Moenkhausia_forestii,Moenkhausia_oligolepsis,Odontostilbe_pequira,Oligosarcus_pintoi,Othothiropsis_spn,Odontostilbe_paraguaiensis,Otocincluscfbororo,Paravandellia_oxyptera,Piabarchus_analis,Piabarchus_torrenticola,Pimelodella_gracilis,Pimelodus_maculatus,Pseudopimelodus_mangurus,Prochilodus_lineatus,Psellogrammus_kennedyi,Pyrrhulina_australis,Poptella_paraguayensis,Phenacogaster_tegatus,Rhamdia_quelen,Rineloricaria_aurata,Rineloricaria_lanceolata,Rineloricaria_parva,Serrapinus_calliurus,Hyphessobrycon_elachys,Satanoperca_pappaterra,Steindachnerina_brevipinna,Steindachnerina_sp,Synbranchus_marmoratus,Xenurobrycon_macropus
P0610,-22.17139,-56.19987,APA1,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
P0611,-22.08248,-56.32409,APA2,Fish_Cerrado_MS2,150,NA,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0612,-22.07086,-56.42082,APA3,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,0,0,0,0,0,0,100,0,0,0,0,0,0
P0613,-22.00539,-56.49126,APA4,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,8,2,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,1,0,15
P0614,-22.14518,-56.30818,APA5,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0615,-21.98326,-56.54484,APA6,Fish_Cerrado_MS2,150,NA,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
P0616,-21.92389,-56.55424,APA7,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
P0617,-21.96051,-56.43805,APA8,Fish_Cerrado_MS2,150,NA,0,2,0,0,1,0,0,0,1,1,0,0,0,9,0,80,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,6,0,0,0,0,0,25,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,9,16,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,17
P0618,-21.92791,-56.38885,APA9,Fish_Cerrado_MS2,150,NA,0,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0619,-21.83352,-56.29022,APA10,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,12,17,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,4,3,0,1,31,0,0,0,0,0,0
