ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus_sp,Ancistrus_multispinnis,Apareiodon_vittatus ,Astyanax_ribeirae,Astyanax_laticeps,Astyanax_bimaculatus,Astyanax_paranae,Astyanax_lacustris,Astyanax_sp,Astyanax_bifasciatus,Astyanax_minor,Astyanax_serratus,Astyanax_dissimilis,Astyanax_totae,Astyanax_ita,Astyanax_gymnodontus,Bryconamericus_ikaa,Bryconamericus_sp,Bryconamericus_ikaa,Bryconamericus_stramineus,Bryconamericus_pyahu,Callichthys_callichthys,Cichlasoma_paranaense,Characidium_lanei,Characidium_pterostictum,Cnesterodon_hypselurus,Corydoras_ehrhardti,Corydoras_longipinnis,Crenicichla_iguassuensis,Crenicichla_haroldoi,Cyphocharax_sp,Deuterodon_langei,Geophagus_brasiliensis,Glandulocauda_caerulea,Gymnotus_inaequilabitaus,Kronichthys_lacerta,Heptapterus_stewarti,Hisonotus_leucofrenatus,Hisonotus_sp,Hollandichthys_multifasciatus,Hoplias_sp,Hyphessobrycon_reticulatus,Hyphessobrycon_itaparicensis,Hyphessobrycon_bifasciatus,Hypostomus_ancistroides,Hypostomus_derbyi,Hypostomus_sp,Jenynsia_eigenmanni,Melanorivulus_apiamici,Mimagoniates_microlepis,Misgurnus_anguillicaudatus,Oligosarcus_longirostris,Phallotorynus_pankalos,Pareiorhaphis_steindachneri,Pareiorhaphis_parmula,Phalloceros_spiloura,Phalloceros harpagos,Phalloceros_sp,Piabina_argentea,Pimelodella_pappenheimi,Pimelodella_sp,Prochilodus_lineatus,Poecilia_vivipara,Pseudotothyris_obtusa,Pyrhulina_australis,Rhamdia_quelen,Rhamdia_branneri,Rhamdia_voulezi,Rhamdioglanis_frenatus,Rhamdiopsis_moreirai,Rineloricaria_lima,Rineloricaria_sp,Rineloricaria_maacki,Rineloricaria_langei,Rivulus_sp,Scleromystax_barbatus,Serrapinus_notomelas,Synbranchus_sp,Trichomycterus_castroi,Trichomycterus_naipi,Trichomycterus_davisi,Trichomycterus_plumbeus,Trichomycterus_sp
P1012,-26.161777,-50.980238,Corrego_dos_Macacos,Fish_MAtlantica_PR,170,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
P1013,-25.334312,-52.21143,Canta_Galo,Fish_MAtlantica_PR,170,12,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
P1014,-26.360826,-50.352759,Arroio_Major_Vieira,Fish_MAtlantica_PR,170,15,0,0,0,0,0,0,0,3,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1015,-26.233969,-50.801559,Corrego_Irienopolis,Fish_MAtlantica_PR,170,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1016,-26.382609,-50.905455,Corrego_Cacadorzinho,Fish_MAtlantica_PR,170,55,0,0,0,0,0,0,0,0,0,0,0,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P1017,-26.293183,-50.624826,Corrego_dos_Pinheiros,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P1018,-26.249419,-50.455832,Corrego_Tira_Fogo,Fish_MAtlantica_PR,170,35,0,0,0,0,0,0,0,1,0,117,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,17,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,11,0,0
P1019,-25.591947,-53.631498,Riacho_Barigui,Fish_MAtlantica_PR,170,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1020,-25.591912,-53.631468,Riacho_rio_Capanema,Fish_MAtlantica_PR,170,40,2,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P1021,-25.510294,-53.532691,Riacho_Vargem_Grande,Fish_MAtlantica_PR,170,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1022,-25.574699,-53.497885,Riacho_rio_Canoinhas,Fish_MAtlantica_PR,170,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1023,-25.899881,-51.600358,Rio_Preto,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1024,-26.287182,-50.583467,Riacho_Chopim,Fish_MAtlantica_PR,170,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1025,-26.361554,-50.541335,Riacho_Juquia,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
