ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,A_aff_fasciatus,A_aff_paranae,A_altiparanae,A_bockmanni,A_ibitiensis,Apareiodon_sp,A_piracicabae,B_stramineus,C_aeneus,C_aff_zebra,C_britskii,C_callichthys,C_iheringi,C_niederleinii,E_erythrinus,G_brasiliensis,G_inaequilabiatus,Gymnotus_sp,H_aff_ancistroides,H_aff_malabaricus,H_aff_strigaticepis,Hisonotus_sp,H_nigromaculatus,Hypostomus_sp,I_borodini,I_mirini,Neoplecortomus_sp,O_niloticus,P_avanhandavae,Piabina_sp,P_reticulata,P_tenebrosa,Rineloricaria_sp,R_quelen,S_marmoratus,S_notomelas,T_diabulus,X_helleri
P1086,-23.379539,-51.907544,API1,Fish_MAtlantica_PR2,170,5.04636876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,19,0,0,0,0
P1087,-23.373419,-51.896828,API2,Fish_MAtlantica_PR2,170,5.04636876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,810,0,0,14,0,0,0,0
P1088,-23.3706,-51.889839,API3,Fish_MAtlantica_PR2,170,5.04636876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,70,0,0,4,0,0,0,0
P1089,-23.328953,-51.890558,AQU1,Fish_MAtlantica_PR2,170,1.566889259,44,0,40,0,0,0,0,0,101,22,6,2,1,0,0,2,31,0,12,2,0,0,0,0,0,37,0,0,1,6,12,0,0,12,10,0,0,0
P1090,-23.317892,-51.891486,AQU2,Fish_MAtlantica_PR2,170,1.566889259,118,0,73,4,0,0,0,17,188,159,2,0,5,0,0,0,9,2,90,0,7,0,6,4,3,134,0,0,19,37,11,11,0,38,3,0,0,0
P1091,-23.30655,-51.892506,AQU3,Fish_MAtlantica_PR2,170,1.566889259,37,0,75,19,0,6,1,112,86,110,1,0,9,1,0,28,11,1,50,1,24,0,54,3,12,124,0,2,13,53,49,21,5,14,0,16,0,0
P1092,-23.415044,-51.874039,GUA1,Fish_MAtlantica_PR2,170,33.37091364,3,2,23,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,31,0,0,0,0,0,0,0,0,4,0,0,2687,0,1,7,0,0,0,0
P1093,-23.412372,-51.853842,GUA2,Fish_MAtlantica_PR2,170,33.37091364,3,0,0,0,0,0,0,0,0,23,0,0,126,0,0,0,0,0,31,0,1,0,0,0,0,62,0,2,0,0,92,2,14,66,0,0,0,0
P1094,-23.404942,-51.840664,GUA3,Fish_MAtlantica_PR2,170,33.37091364,36,4,109,0,0,0,0,0,0,71,0,0,82,0,0,6,2,0,167,5,0,0,0,0,0,275,0,3,0,0,887,10,36,325,3,0,0,0
P1095,-23.410483,-51.950225,MAN1,Fish_MAtlantica_PR2,170,30.79510819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,5936,0,0,300,0,0,0,0
P1096,-23.384789,-51.947181,MAN2,Fish_MAtlantica_PR2,170,30.79510819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,524,0,0,0,0,0,0,0,0,0,0,0,864,0,0,150,1,0,0,0
P1097,-23.354147,-51.957722,MAN3,Fish_MAtlantica_PR2,170,30.79510819,21,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,417,0,2,0,0,0,0,0,0,0,0,0,2167,0,0,153,4,0,0,0
P1098,-23.372325,-51.929333,MIO1,Fish_MAtlantica_PR2,170,9.333360067,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,68,0,1,0,0,0,0,8,0,0,0,0,2562,0,0,320,0,0,0,2
