ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_lacustris,Apareiodon_piracicabae,Aspidoras_fuscoguttatus,Astyanax_altiparanae,Astyanax_fasciatus,Astyanax_paranensis,Astyanax_bockmanni,Bryconamericus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagossantense,Characidium_zebra,Cichlasoma_paranaense ,Corydoras_aeneus,Crenicichla_britskii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_virescens,Erythrinus_erythrinus,Geophagus_brasiliensis,Gymnotus_sylvius,Gymnotus_inaequilabiatus,Hemigrammus_marginatus,Hisonotus_francirochai,Hoplosternum_littorale,Hoplias_malabaricus,Hypostomus_ancistroides,Hyphessobrycon_anisitsi ,Hyphessobrycon_eques,Hypostomus_nigromaculatus,Imparfinis_schubarti,Knodus_moenkhausii,Laetacara_aff_araguaiae,Leporinus_friderici,Leporinus_lacustris ,Leporinus_paranensis,Lepthoplosternum_pectorale,Leporinus_striatus,Moenkhausia_sanctaefilomenae,Oligosarcus_pintoi,Oreochromis_niloticus,Pamphorichthys_hollandi,Parodon_nasus,Phalloceros_harpagos,Phenacorhamdia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae ,Planaltina_britskii ,Poecilia_reticulata ,Prochilodus_lineatus ,Pseudopimelodus_pulcher,Pyrrhulina_australis ,Rhamdia_quelen,Rivulus_pictus,Satanoperca_pappaterra,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_insculpta,Synbranchus_marmoratus,Tilapia_rendalli 
P1186,-20.822333,-49.563056,001IBISJD,Fish_MAtlantica_SP,170,75.78,0,0,3,11,0,0,0,0,1,0,0,0,0,0,21,4,0,12,0,0,0,6,0,1,0,0,1,11,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
P1187,-20.779167,-49.581167,002IBISJD,Fish_MAtlantica_SP,170,90.59,0,0,35,24,0,0,0,0,0,0,0,0,1,6,11,0,0,9,0,0,17,27,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,31,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0
P1188,-20.714722,-49.71,003IBISJD,Fish_MAtlantica_SP,170,84.33,0,0,1,25,0,0,0,0,0,0,0,0,0,0,4,0,0,28,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
P1189,-20.608111,-49.711639,004IBISJD,Fish_MAtlantica_SP,170,56.99,0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1190,-20.717361,-49.811528,005IBISJD,Fish_MAtlantica_SP,170,50.1,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
P1191,-20.687917,-49.884917,006IBISJD,Fish_MAtlantica_SP,170,58.1,0,0,0,47,14,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P1192,-20.625444,-49.892611,007IBISJD,Fish_MAtlantica_SP,170,60.09,0,0,7,58,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,17,0,0,0,0,0
P1193,-20.612889,-49.96825,008IBISJD,Fish_MAtlantica_SP,170,83.02,0,0,0,12,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,8,0,1,0,0,1,21,0,0,0,32,0,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P1194,-20.542056,-49.935306,009IBISJD,Fish_MAtlantica_SP,170,78.51,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P1195,-20.674278,-50.021083,010IBISJD,Fish_MAtlantica_SP,170,95.26,0,0,0,44,0,0,2,0,0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0
