ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Apareiodon_ibitiensis,Apareiodon_piracicabae,Astyanax_lacustris,Astyanax_bockmanni,Astyanax_fasciatus,Astyanax_paranae,Astyanax_sp1,Astyanax_sp2,Bryconamericus_iheringii,Bryconamericus_turiuba,Cetopsorhamdia_iheringi,Characidium_zebra,Characidium_gomesi,Corumbataia_cuestae,Corydoras_aeneus,Corydoras_flaveolus,Eigenmania_trilineata,Geophagus_brasiliensis,Gymnotus_sylvius,Hisonotus_francirochai,Hoplias_malabaricus,Hyphessobrycon_anisitsi,Hyphessobrycon_bifasciatus,Hypostomus_ancistroides,Hypostomus_nigromaculatus,Hypostomus_strigaticeps,Hypostomus_sp,Imparfinis_borodini,Imparfinis_mirini,Neoplecostomus_paranaensis,Oligosarcus_paranaensis,Oreochromis_niloticus,Parodon_nasus,Phalloceros_harpagos,Piabina_argentea,Pimelodella_brasiliensis,Poecilia_reticulata,Rhamdia_quelen,Rineloricaria_latirostris,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrapinnus_sp,Steindachnerina_insculpta,Synbranchus_marmoratus,Trichomycterus_sp
P1281,-22.527463,-47.612026,Corumbatai_01,Fish_MAtlantica_SP2,170,67.75585697,0,0,17,91,4,9,0,0,126,0,9,24,0,0,0,0,0,21,5,0,0,0,0,2,0,1,0,0,46,0,0,0,18,4,0,0,0,2,0,0,0,0,0,0,3
P1282,-22.51533,-47.620407,Corumbatai_02,Fish_MAtlantica_SP2,170,84.17492148,0,0,0,2,0,1,0,0,13,0,1,1,0,0,0,9,0,1,0,0,0,0,0,4,0,1,0,0,29,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0
P1283,-22.509508,-47.593578,Corumbatai_03,Fish_MAtlantica_SP2,170,89.08521584,0,0,0,3,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
P1284,-22.51904,-47.590851,Corumbatai_04,Fish_MAtlantica_SP2,170,89.53229399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1285,-22.507636,-47.574111,Corumbatai_05,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1286,-22.536674,-47.602385,Corumbatai_06,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1287,-22.128492,-47.703503,Corumbatai_07,Fish_MAtlantica_SP2,170,73.8317757,0,0,0,0,0,4,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,6,3,0,0,0,0,0,1,64
P1288,-22.129475,-47.703017,Corumbatai_08,Fish_MAtlantica_SP2,170,52.11115121,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,66
P1289,-22.134517,-47.728228,Corumbatai_09,Fish_MAtlantica_SP2,170,67.59259259,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
P1290,-22.15142,-47.700345,Corumbatai_10,Fish_MAtlantica_SP2,170,59.4997339,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
