Sites;Acanthodoras_cataphractus;Acestrorhynchus_falcatus;Aequidens_tetramerus;Amazonspinther_dalmata;Ancistrus_lithurgicus;Anostomus_ternetzi;Apistogramma_cf_resticulosa;Apteronotus_albifrons;Astyanax_cf_bimaculatus;Astyanax_maculisquamis;Astyanax_cf_maximus;Bario_steindachneri;Batrochoglanis_cf_raninus;Batrochoglanis_villosus;Brachychalcinus_copei;Brachyhypopomus_sp1;Brachyhypopomus_sp2;Brachyhypopomus_sp3;Bryconops_caudomaculatus;Bryconella_pallidifrons;Bryconops_piracolina;Carnegiella_strigata;Centromochlus_cf_perugiae;Cetopsorhamdia_sp1;Cetopsorhamdia_sp2;Cetopsorhamdia_sp3;Characidium_aff_gomesi;Characidium_sp;Characidium_aff_.zebra;Cheirodon_troemneri;Cichlasoma_amazonarum;Corydoras_acutus;Corydoras_aff_ambiacus;Corydoras_cf_bondi;Corydoras_cf_bondi.1;Corydoras_cf_melanistius;Corydoras_stenocephalus;Corydoras_aff_ambiacus.1;Crenicichla_johanna;Creagrutus_petilus;Crenicichla_santosi;Curimatopsis_macrolepis;Cyphocharax_plumbeus;Cyphocharax_spiluropsis;Denticetopsis_seducta;Eigenmannia_trilineata;Elachocharax_pulcher;Erythrinus_erythrinus;Farlowella_cf_oxyrryncha;Geophagus_megasema;Gymnotus_aff_arapaima;Gymnotus_carapo;Gymnotus_coropinae;Gymnorhamphichthys_petiti;Helogenes_gouldingi;Hemigrammus_bellotti;Hemigrammus_melanochrous;Hemigrammus_neptunus;Hemigrammus_aff_ocellifer;Hemigrammus_sp;Hemiodus_unimaculatus;Hoplosternum_littorale;Hoplias_malabaricus;Hoplerythrinus_unitaeniatus;Hyphessobrycon_agulha;Hyphessobrycon_bentosi;Hyphessobrycon_bentosi.1;Hyphessobrycon_aff_heterorhabdus;Hypopygus_lepturus;Hypostomus_pyrineusi;Hypostomus_sp;Imparfinis_cf_hasemani;Imparfinis_stictonotus;Ituglanis_amazonicus;Jupiaba_citrina;Jupiaba_poranga;Jupiaba_zonata;Knodus_heteresthes;Knodus_cf_smithi;Lasiancistrus_schomburgkii;Leporinus_friderici;Loricaria_cataphracta;Megalechis_picta;Melanocharacidium_dispilomma;Melanocharacidium_pectorale;Microschemobrycon_sp;Microglanis_poecilus;Microcharacidium_sp;Microcharacidium_aff_weitzmani;Miuroglanis_platycephalus;Moenkhausia_cf_bonita;Moenkhausia_collettii;Moenkhausia_cotinho;Moenkhausia_aff_gracilima;Moenkhausia_grandisquamis;Moenkhausia_mikia;Moenkhausia_oligolepis;Moenkhausia_pankilopteryx;Myleus_sp;Nannostomus_trifasciatus;Odontostilbe_fugitiva;Otocinclus_hoppei;Parotocinclus_aff_aripuanensis;Parodon_nasus;Parauchenipterus_porosus;Paracanthopoma_sp;Phenacorhamdia_cf_boliviana;Phenacogaster_retropinnus;Phenacorhamdia_sp;Pimelodella_cf_howesi;Pimelodella_sp;Platyurosternarchus_macrostomus;Potamorrhaphis_guianensis;Prochilodus_nigricans;Pseudobunocephalus_amazonicus;Pyrrhulina_cf_australis;Pyrrhulina_cf_brevis;Pyrrhulina_cf_zigzag;Rhamdia_quelen;Rineloricaria_heteroptera;Rineloricaria_sp;Rivulus_sp;Satanoperca_jurupari;Serrapinnus_microdon;Serrapinus_aff_notomelas;Serrasalmus_rhombeus;Spatuloricaria_evansii;Aphanotorulus_emarginatus;Steindachnerina_cf_dobula;Steindachnerina_fasciata;Steindachnerina_guentheri;Sternopygus_macrurus;Tatia_aulopygia;Tetragonopterus_argenteus;Tilapia_rendalli;Triportheus_angulatus;Tyttocharax_madeirae;Potamotrygon_orbignyi;Synbranchus_marmoratus
P0215;0;0;5;0;43;0;0;1;0;0;0;0;0;0;13;0;0;0;61;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;2;1;45;10;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;43;0;1;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;7;0;1;0;0;0;0;0;0;0;0;2;12;1;0;1;85;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0218;0;0;0;7;0;0;8;0;0;0;0;0;0;0;4;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6;0;302;0;0;0;0;0;0;0;29;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;0;1;0;0;0;0;1;0;10;0;0;0;1;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0234;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;2;6;0;0;5;0;0;0;15;0;2;0;13;0;0;0;0;0;0;0;0;51;0;8;28;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;59;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;0;0;0;20;0;0;0;0;0;0;7;0;0;0;0;0;0;0
P0235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
P0236;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0237;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P0245;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5;1;0;0;0;0;1;0;0;1;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;0;0;0;0;0;14;0;1;0;0;0;0;14;0;0;0;0;0;35;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0248;0;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;13;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
P0254;0;1;6;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;15;0;0;0;0;0;17;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;322;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;18;0;0;0;107;67;0;0;0;0;1;0;8;0;0;0;0;0;0;0
P0255;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;231;5;0;0;0;0;4;0;0;0;0;0;0;0;1;0
