Sites;Ancistrus.brevipinnis;Ancistrus.taunay;Aphyocharax.anisitsi;Apistogramma.commbrae;Astyanax.dissensus;Astyanax.eigenmanniorum;Astyanax.fasciatus;Astyanax.henseli;Astyanax.lacustris;Astyanax.laticeps;Astyanax.procerus;Astyanax.saguazu;Astyanax.sp1;Astyanax.sp2;Astyanax.stenohalinos;Astyanax.xiru;Australoheros.facetus;Australoheros.minuano;Australoheros.scitulus;Brachyhypopomus.bombilla;Bryconamericus.iheringii;Bunocephalus.doriae;Callichthys.callichthys;Characidium.occidentale;Characidium.orientale;Characidium.pterostictum;Characidium.tenue;Characidium.zebra;Charax.stenopterus;Cheirodon.ibicuhiensis;Cheirodon.interruptus;Cichlasoma.dimerus;Cnesterodon.decemmaculatus;Corydoras.paleatus;Corydoras.sp;Corydoras.undulatus;Crenicichla.lepidota;Crenicichla.punctata;Crenicichla.scotti;Cyphocharax.saladensis;Cyphocharax.spilotus;Cyphocharax.voga;Diapoma.alegretensis;Diapoma.speculiferum;Diapoma.terofali;Diapoma.tipiaia;Diapoma.uruguayensis;Eigenmannia.trilineata;Gymnogeophagus.gymnogenys;Gymnogeophagus.labiatus;Gymnogeophagus.mekinos;Gymnogeophagus.meridionalis;Gymnogeophagus.pseudolabiatus;Gymnogeophagus.rhabdotus;Gymnotus.carapo;Hemiancistrus.fuliginosus;Hemiancistrus.punctulatus;Heptapterus.mustelinus;Heptapterus.sp;Heptapterus.sympterygium;Heterocheirodon.yatai;Hisonotus.armatus;Hisonotus.charrua;Hisonotus.laevior;Hisonotus.notopagos;Hisonotus.ringueleti;Homodiaetus.anisitsi;Hoplias.malabaricus;Hyphessobrycon.anisitsi;Hyphessobrycon.luetkenii;Hyphessobrycon.meridionalis;Hyphessobrycon.togoi;Hypobrycon.sp;Hypostomus.aspilogaster;Hypostomus.commersoni;Hypostomus.uruguayensis;Imparfinis.mishky;Ituglanis.australis;Ituglanis.sp;Microglanis.cottoides;Mimagoniates.inequalis;Moenkhausia.dichroura;Odontostilbe.pequira;Oligosarcus.jacuiensis;Oligosarcus.jenynsii;Oligosarcus.oligolepis;Oligosarcus.robustus;Oligosarcus.sp;Otocinclus.arnoldi;Otocinclus.flexilis;Phalloceros.caudimaculatus;Pimelodella.australis;Pseudobunocephalus.iheringii;Pseudocorynopoma.doriae;Pseudohemiodon.laticeps;Pseudoheptapterus.sp;Rhamdella.eriarcha;Rhamdella.longiuscula;Rhamdia.quelen;Rineloricaria.baliola;Rineloricaria.cadeae;Rineloricaria.longicauda;Rineloricaria.microlepidogaster;Rineloricaria.sp;Rineloricaria.stellata;Rineloricaria.strigilata;Scleronema.aff.operculatum;Scleronema.minutum;Scleronema.operculatum;Scleronema.sp1.ibicui;Scleronema.sp2.quarai;Serrapinnus.calliurus;Steindachnerina.biornata;Steindachnerina.brevipinna;Synbranchus.marmoratus;Trichomycterus.poikilos
P0281;7;0;0;0;1;6;0;1;0;3;0;0;0;0;7;0;0;0;0;0;37;0;0;0;0;17;0;0;0;0;8;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;6;0;0;17;0;0;0;0;3;0;32;0;1;0;0;0;2;26;0;0;0;0;0;0;7;0
P0282;3;0;0;0;2;8;0;0;0;1;0;0;0;0;0;0;1;0;0;0;31;0;0;0;5;13;0;0;0;0;27;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;85;0;0;0;0;0;2;0;0;0;0;0;11;0;0;0;0;15;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;33;1;0;6;0;0;0;0;1;0;24;0;0;0;0;0;14;51;0;0;0;0;1;0;5;0
P0283;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;22;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;1;0;0;0;2;0;21;0;0;0;0;7;0;0;0;0;0;95;0;0;0;1;0;0;0;0;0;35;6;0;2;0;0;0;0;0;0;38;0;0;0;0;0;5;135;0;0;0;0;0;0;19;0
P0289;0;16;0;0;0;0;0;5;1;0;0;0;3;0;0;0;0;0;7;1;15;2;0;5;0;21;14;15;0;0;0;0;1;0;0;0;9;0;2;0;2;0;45;0;4;0;0;1;0;0;1;0;0;1;0;19;0;175;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;11;0;0;0;0;1;0;0;0;0;0;48;0;0;0;0;0;0;0;6;0;5;0
P0290;0;77;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;53;0;0;0;0;0;0;0;3;0;0;8;0;6;0;400;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;2;0
P0291;0;2;0;0;0;8;0;4;2;2;1;0;0;0;0;0;0;0;3;0;21;0;0;0;0;0;0;1;0;0;49;0;1;0;0;0;7;0;10;0;0;0;93;0;0;0;0;0;0;0;3;0;0;26;0;0;0;145;0;0;1;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;5;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;0
P0292;0;2;0;1;0;0;0;41;8;0;0;0;0;0;0;0;9;0;3;0;9;0;0;9;3;43;0;0;2;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;29;0;0;0;0;10;0;0;0;0;0;52;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;3;30;0;36;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
P0293;0;0;0;0;8;0;0;71;2;0;0;0;0;0;0;0;0;0;0;1;9;0;0;4;0;1;0;4;2;0;33;0;0;1;0;0;16;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;31;28;1;52;0;0;0;0;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;10;0
P0294;0;18;0;0;0;12;0;33;8;0;0;0;0;0;0;0;0;0;0;0;7;0;1;1;0;28;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;5;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
P0301;3;0;0;0;0;11;0;17;0;12;0;0;0;0;0;0;17;0;0;0;146;0;0;0;6;8;0;0;0;0;269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;17;0;20;0;0;0;8;22;0;0;0;0;0;0;3;0
