Sites;Ancistrus_cf_aguaboensis;Ancistrus_sp_1;Ancistrus_sp_2;Apareiodon_machrisi;Apteronotus_camposdapazi;Aspidoras_albater;Astyanax_elachlepis;Astyanax_cf_goyanensis;Astyanax_aff_Scabripinnis;Astyanax_novae;Bryconops_cf_caudomaculatus;Bryconops_melanurus;Cetopsis_arcana;Cetopsorhamdia_cf_iheringi;Cetopsis_cf_plumbea;Cetopsorhamdia_molinae;Cetopsorhamdia_sp;Characidium_aff_zebra;Cichlasoma_araguaiense;Corumbataia_tocantinensis;Corumbataia_sp;Creagrutus_britskii;Creagrutus_cf_strisignum;Crenicichla_labrina;Ctenocheirodon_pristis;Eigenmannia_sp;Farlowella_cf_oxyrhyncha;Gymnotus_aff_carapo;Harttia_punctata;Hemiancistrus_cerrado;Hemigrammus_ataktos;Hoplias_malabaricus;Hypostomus_ericae;Hypostomus_sp1;Hypostomus_sp2;Imparfinis_cf_borodini;Imparfinis_cf_schubarti;Ituglanis_sp;Jupiaba_apenina;Jupiaba_sp;Knodus_cf_chapadae;Knodus_sp;Leporinus_friderici;Leporinus_sp;Loricaria_sp;Moenkhausia_aurantia;Moenkhausia_sp;Moenkhausia_oligolepis;Moenkhausia_pankilopteryx;Nannoplecostomus_eleonorae;Phenacogaster_sp;Phenacorhamdia_sp;Pimelodella_sp;Pseudopimelodus_pulcher;Retroculus_lapidifer;Rhamdia_aff_quelen;Rhamdia_cf_itacaiunas;Rineloricaria_lanceolata;Rineloricaria_osvaldoi;Serrapinnus_tocantincensis;Spatuloricaria_cf_evansii;Steindachnerina_amazonica;Sternopygus_macrurus;Synbranchus_cf_marmoratus;Trichomycterus_sp
P0333;0;0;4;1;0;1;0;0;0;10;0;0;0;0;0;0;0;37;0;0;0;0;0;1;0;0;0;4;3;0;0;2;0;2;1;0;0;0;0;0;99;0;0;0;0;0;0;3;0;0;0;7;0;0;0;2;0;2;0;0;0;0;0;0;0
P0334;0;0;4;0;0;4;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;4;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;65;0;0;0;0;0;0;7;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0
P0339;0;0;3;0;0;0;0;0;0;1;0;4;0;0;0;0;0;3;0;0;0;10;0;0;0;0;0;0;0;0;30;2;0;0;1;0;0;0;0;0;101;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
P0343;0;40;2;1;0;17;0;0;0;6;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0
P0344;0;7;8;2;0;0;0;0;0;6;0;3;0;0;2;5;2;52;0;0;0;17;0;0;0;0;0;0;29;0;7;1;0;20;7;3;0;0;2;0;117;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0
P0345;0;0;6;0;0;0;0;0;0;6;0;8;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
P0346;0;0;13;5;0;2;13;0;0;22;0;7;0;0;0;0;0;23;9;0;0;68;0;3;0;0;5;3;2;0;30;5;0;5;8;0;0;0;0;0;194;0;0;0;9;0;0;6;0;0;2;3;0;0;0;3;0;4;0;0;5;6;0;0;0
P0349;0;3;5;8;1;0;0;0;0;6;0;0;0;0;0;5;0;58;0;0;0;33;0;1;0;0;0;1;38;0;4;1;0;33;5;2;0;0;2;0;159;0;0;0;3;0;0;6;0;0;0;6;0;0;0;0;0;1;0;0;5;2;1;0;0
P0350;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;26;12;0;0;3;0;5;0;0;0;0;0;0;93;6;0;1;0;0;0;0;0;0;187;0;0;0;0;0;0;7;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
P0351;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;41;0;0;0;1;0;9;0;0;0;7;14;0;15;6;0;12;6;0;1;0;0;0;109;0;0;0;1;0;0;5;0;0;0;3;0;0;0;0;0;4;0;0;1;0;0;0;0
P0352;0;0;10;1;3;0;7;0;0;0;0;0;0;0;0;0;0;27;0;0;0;16;0;1;0;2;0;3;6;0;11;0;0;22;3;0;2;0;0;0;94;0;0;0;2;0;0;0;0;0;0;7;0;0;0;0;0;5;0;0;1;0;4;2;0
P0353;0;0;26;1;0;0;0;0;0;15;0;0;0;0;0;0;0;11;0;0;0;23;0;0;0;0;0;1;1;0;6;3;0;8;5;0;0;0;0;0;145;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;4;0
P0354;0;0;10;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;84;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
P0355;0;0;21;3;0;8;11;0;0;7;0;1;0;0;0;0;0;81;0;0;0;3;0;6;0;0;0;1;2;0;17;0;0;14;2;0;1;0;3;0;130;0;0;0;0;0;0;3;0;0;0;3;0;0;0;2;0;0;0;0;0;0;5;0;0
P0356;0;0;19;0;0;16;0;0;0;2;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;44;0;0;5;0;24;0;0;0;0;0;0;137;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
P0357;0;42;9;0;0;3;31;0;0;12;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;13;0;0;8;0;15;1;0;0;0;2;0;98;0;0;0;0;0;0;1;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0
P0358;0;0;1;2;0;0;0;0;0;20;0;0;0;0;0;0;0;70;0;0;0;3;0;0;0;0;0;3;6;0;9;1;0;7;1;0;7;0;0;0;105;0;0;0;0;0;0;7;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0
P0359;0;0;8;0;2;23;0;0;0;46;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;5;3;0;0;0;0;3;0;0;0;71;0;0;0;0;0;0;12;0;0;0;1;0;0;0;2;0;0;0;0;0;0;4;2;0
P0361;0;37;19;5;2;0;29;0;0;37;0;3;0;0;1;1;0;96;7;0;0;48;0;0;0;0;0;4;41;0;0;5;0;48;22;0;0;0;0;0;137;0;0;3;0;0;0;1;0;21;0;9;5;0;0;2;1;1;0;0;11;0;1;0;0
P0362;14;0;0;1;0;0;0;0;6;0;0;0;0;1;0;0;0;5;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;12;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
P0363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
P0371;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0373;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;40;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0377;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0379;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0
P0380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
P0381;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;22;0;14;0;0;0;0;0;0;0;0;0;0;0;1;0;54;0;1;2;0;0;0;48;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;3;0;0;0;2;0;0
P0382;43;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;31;1;0;0;0;38;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1
P0383;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0384;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;10;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
