Sites;Acestrorhynchus_lacustris;Apareiodon_cf_piracicabae;Apareiodon_ibitiensis;Apareiodon_piracicabae;Aphyocharax_dentatus;Aspidoras_fuscoguttatus;Aspidoras_lakoi;Astyanax_altiparanae;Astyanax_bimaculatus;Astyanax_bockmani;Astyanax_cf_bockmani;Astyanax_cf_scabripinnis;Astyanax_fasciatus;Astyanax_rivularis;Astyanax_sp_n1_.grupo_scabripinnis.;Astyanax_sp_n2_.grupo_scabripinnis.;Astyanax_spn_.grupo_scabripinnis.;Brycon_nattereri;Brycon_orbignyanus;Bryconamericus_cf_stramineus;Bryconamericus_stramineus;Bryconamericus_turiuba;Cetopsis_gobioides;Cetopsorhamdia_iheringi;Characidium_cf_zebra;Characidium_fasciatum;Characidium_gomesi;Characidium_lagosantense;Characidium_sp;Characidium_sp_n_.sem_adiposa.;Characidium_spn_.grupo_fasciatum.;Characidium_zebra;Cichlasoma_paranaense;Corydoras_difluviatilis;Crenicichla_jaguarensis;Cyphocharax_gilli;Eigenmannia_trilineata;Eigenmannia_virescens;Geophagus_brasiliensis;Gymnotus_carapo;Gymnotus_cf_inaequilabiatus;Gymnotus_sylvius;Harttia_sp;Hasemania_nana;Hasemania_sp;Hemigrammus_marginatus;Hemigrammus_parana;Hisonotus_piracanjuba;Hisonotus_sp;Hisonotus_sp_1;Hisonotus_sp_2;Hoplerythrinus_unitaeniatus;Hoplias_intermedius;Hoplias_malabaricus;Hyphessobrycon_cf_santae;Hyphessobrycon_eques;Hypoptopomatinae_sp1;Hypostomus_aff_margaritifer;Hypostomus_aff_nigromaculatus;Hypostomus_aff_paulinus;Hypostomus_alatus;Hypostomus_ancistroides;Hypostomus_cf_lima;Hypostomus_garmani;Hypostomus_hermani;Hypostomus_regani;Hypostomus_sp;Hypostomus_sp2;Hypostomus_sp1_.claro.;Hypostomus_sp2_.marrom.;Hypostomus_sp3_.pavanelli.;Hypostomus_sp4_.triangular.;Hypostomus_strigaticeps;Hysteronotus_megalostomus;Imparfinis_borodini;Imparfinis_cf_schubarti;Imparfinis_longicauda;Imparfinis_minutus;Imparfinis_schubarti;Knodus_moenkhausii;Laetacara_araguaia;Lepidocharax_burnsi;Leporinus_friderici;Leporinus_lacustris;Leporinus_marcgravii;Leporinus_microphthalmus;Leporinus_octofasciatus;Leporinus_paranensis;Leporinus_piavussu;Leporinus_striatus;Leporinus_taeniatus;Microglanis_leptostriatus;Microlepidogaster_arachas;Moenkhausia_intermedia;Moenkhausia_sanctaefilomenae;Neoplecostomus_franciscoensis;Neoplecostomus_paranensis;Neoplecostomus_sp;Oligosarcus_argenteus;Oligosarcus_cf_planaltinae;Oligosarcus_pintoi;Oreochromis_niloticus;Parodon_hilarii;Parodon_nasus;Phalloceros_harpagos;Phenacorhamdia_cf_unifasciata;Phenacorhamdia_tenebrosa;Piabina_argentea;Pimellodela_lateristriga;Pimellodela_laurenti;Pimelodella_gracilis;Poecilia_reticulata;Pseudopimelodus_zungaro;Pyrrhulina_australis;Rhamdia_quelen;Rhamdiopsis_microcephala;Rhamdiopsis_sp_n;Rineloricaria_sp;Rivulus_apiamici;Roeboides_descalvadensis;Salminus_hilarii;Serrapinnus_heterodon;Serrapinnus_piaba;Serrapinnus_sp;Serrapinnus_sp_2;Steindachnerina_insculpta;Sternopygus_macrucus;Synbranchus_marmoratus;Tatia_neivai;Tilapia_rendalii;Trachelyopterus_galeatus;Trichomycterus_aff_brasiliensis;Trichomycterus_brasiliensis;Trichomycterus_candidus;Trichomycterus_sp;Trichomycterus_sp1;Trichomycterus_sp3;Trichomycterus_variegatus;Triportheus_nematuros
P0391;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0
P0394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;17;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0
P0405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;43;1;2;0;0
P0407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
P0410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
P0413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
P0414;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;16;0;2;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;0;0;0
P0419;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
P0424;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0425;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;12;0;0;0;0
P0428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;0
