Sites;A_abramis;A_affinis;A_albifrons;A_anisiti;A_dentatus;A_aff_fasciatus;A_lineatus;A_marionae;Ancistrus_sp;A_pantaneiro;A_plagiozonatus;Astyanax_sp1;Astyanax_sp2;Astyanax_sp3;A_asuncionensis;Brachyhypopomus_spB;Brachyhypopomus_spC;B_exodon;B_hilarii;B_retrospina;B_stramineus;C_aeneus;C_areio;C_borellii;C_callichthyes;C_dimerus;C_gomesi;C_lepidota;C_meridionalis;C_vittata;Corydoras_spn;Characidium_sp;Characidium_sp1;Crenicichla_sp;C_aff_zebra;E_trilineata;F_cf_isbrueckeri;F_paraguayensis;G_britskii;G_inaquilabiatus;G_ternetzi;Gymnotus_sp;H_basilisko;H_boulengeri;H_cochliodon;H_eques;Hoplias_sp1;H_khimeara;H_littorale;H_aff_latirostris;H_luetkenii;H_piratatu;Hypostumus_sp;I_mirini;I_schubarti;I_stictonatus;Imparfinis_sp;Imparfinis_sp1;J_acanthogaster;L_cf_coximensis;L_frederici;L_lacustris;L_lucie;L_obtusidens;L_striatus;M_bonita;M_foresti;M_intermedia;M_oligolepis;M_sanctafilomenae;O_pintoi;O_pequira;O_paraguayensis;P_analis;P_australis;P_corruscans;P_gobioides;P_gracilis;P_hoehnei;P_kennydie;P_lineatus;P_oxyptera;P_mangurus;P_melanostoma;P_menezesi;P_nasus;P_paraguayensis;P_reticulata;P_taenioptera;P_tegatus;P_torenticula;R_lanceolata;R_parva;R_quelen;S_brasiliensis;S_brevipinna;S_calliura;S_macrurus;S_marginatus;S_marmoratus;S_nigrotaenia;S_notomelas;T_argenteus;T_neivai;X_macropus
P0907;0;0;0;0;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0908;0;0;0;0;0;0;9;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
P0909;0;0;0;3;0;0;0;0;0;0;1;0;8;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;2;0;1;5;0;0;0;0;0;0;0;0
P0919;0;0;0;8;0;0;0;0;2;0;0;0;0;0;4;0;0;55;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;10;7;10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0;9;0;0;0;0;0;0;0;0
P0922;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;5;2;0;2;1;0;0;0;0;0;0;0;0;0;0
P0923;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;36;0;0;0;0;0;0;2;0
P0935;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
P0937;0;0;0;0;0;0;4;0;11;0;0;0;0;0;4;0;0;8;0;0;1;0;0;0;0;0;3;0;14;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0938;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
P0941;0;0;0;0;0;0;0;0;8;0;0;292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0944;0;0;0;0;0;0;0;0;0;0;0;0;0;560;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
