Sites;Acestrorhynchus_falcatus;Acestrorhynchus_microlepis;Aequidens_tetramerus;Ancistrus_sp;Ancistrus_sp1;Ancistrus_sp2;Apareiodon_sp_1;Apareiodon_sp_2;Aphyocharax_alburnus;Aphyocharax_sp_1;Apistogramma_sp;Apteronotus_albifrons;Apteronotus_leptorhynchus;Aspidoras_pauciradiatus;Astyanax_argyrimarginatus;Astyanax_aff_asuncionesis;Astyanax_cf_goyacensis;Astyanax_elachylepis;Astyanax_sp;Astyanax_xavante;Biotodoma_aff_cupido;Brycon_falcatus;Bryconamerycus_sp;Bryconops_alburnoides;Bryconops_cf_melanurus;Bryconops.cf_giacopinii;Bunocephalus_sp;Callichthys_callichthys;Cetopsis_sp;Cetopsorhamdia_sp;Characidium_cf_zebra;Characidium_sp_1;Characidium_sp3;Characidium_sp4;Characidium_sp5;Characidium_sp6;Cichlasoma_araguaiense;Corydoras_maculifer;Corydoras.araguaiensis;Creagrutus_figueiredoi;Creagrutus_menezesi;Creagrutus_seductus;Crenicichla_johanna;Crenicichla_labrina;Crenicichla_reticulata;Crenicichla_sp;Curimatella_immaculata;Cyphocharax_gouldingi;Eigenmannia_cf_trilineata;Farlowella_aff_oxyrryncha;Farlowella.aff_schreitmuelleri.;Gymnorhamphichthys_petiti;Gymnotus_cf_carapo;Gymnotus_sp;Hemigrammus_aff_levis;Hemigrammus_aff_ocelifer;Hemigrammus_cf_rodwayi;Hemigrammus_sp;Heros_aff_efasciatus;Hisonotus_sp;Hoplerythrinus_unitaeniatus;Hoplias_cf_malabaricus;Hyphessobrycon_aff_tenuis;Hyphessobrycon_sp;Hypostomus_faveolus;Hypostomus_sp_1;Hypostomus_sp_2;Hypostomus_sp_3;Hypostomus_sp_4;Hypostomus_sp_5;Hypostomus.aff_cochliodon;Imparfinis_mirini;Imparfinis_sp;Ituglanis_macunaima;Jupiaba_polylepis;Jupiaba_acanthogaster;Knodus_cf_breviceps;Laetacara_araguaiae;Leporinus_cf_klausewitzi;Leporinus_friderici;Leporinus_sp1;Loricaria_sp_1;Loricaria_sp_2;Loricaria_sp_3;Mastiglanis_asopos.;Melanorivulus_zygonectes;Microglanis_sp;Microschemobrycon_sp_1;Microschemobrycon_sp_2;Moenkhausia_aurantia;Moenkhausia_cf_comma;Moenkhausia_cf_lepidura;Moenkhausia_venerei;Moenkhausia_dichroura;Moenkhausia_oligolepis;Odontostilbe_sp;Otocinclus_sp;Pamphorichthys_araguaiensis;Parancistrus_sp;Parodon_pongaensis;Parotocinclus_britskii;Parotocinclus_sp;Phenacogaster_sp;Phenacorhamdia_somnians;Pimelodella_sp_1;Pimelodella_sp_2;Pimelodella_sp_3;Pyrrhulina_australis;Prochilodus_nigricans;Pseudanos_sp;Pseudopimelodus_cf_pulcher;Retroculus_lapidifer;Rhamdia_quelen;Rineloricaria_hasemani;Roeboexodon_geryi;Satanoperca_jurupari;Serrasalmus_spilopleura;Serrapinnus_micropterus;Serrepinnus_cf_piaba;Aphanotorulus_emarginatus;Stegophilus_sp;Steindachnerina_amazonica;Sternopygus_macrurus;Sturisoma_aff_nigrirostrum;Synbranchus_marmoratus;Tetragonopterus_chalceus;Tetragnopterus_sp;Thayeria_boehlkei;Thoracocharax_cf_stellatus
P0951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0953;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;18;0;0;0;7;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0955;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;4;0;16;0;0;0;0;1;0;0;0;2;0;0;20;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0970;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0972;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;1;0;0;2;0;0;0;0;27;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0974;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0979;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0981;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;3;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;11;3;0;0;1;0;0;0;0;0;0;0;0;0;1;14;0;0;3;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;68;0;0;18;0;6;75;0;0;0;0;0;0;3;0;1;0;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
P0982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;40;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P0983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;35;0;0;0;0;0;0;0;0;2;58;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;1;11;0;3;0;10;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;4;0;0;0;0;0;158;0;0;0;4;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
