Sites;Ancistrus_sp;Ancistrus_multispinnis;Apareiodon_vittatus;Astyanax_ribeirae;Astyanax_laticeps;Astyanax_bimaculatus;Astyanax_paranae;Astyanax_lacustris;Astyanax_sp;Astyanax_bifasciatus;Astyanax_minor;Astyanax_serratus;Astyanax_dissimilis;Astyanax_totae;Astyanax_ita;Astyanax_gymnodontus;Bryconamericus_ikaa;Bryconamericus_sp;Bryconamericus_ikaa.1;Bryconamericus_stramineus;Bryconamericus_pyahu;Callichthys_callichthys;Cichlasoma_paranaense;Characidium_lanei;Characidium_pterostictum;Cnesterodon_hypselurus;Corydoras_ehrhardti;Corydoras_longipinnis;Crenicichla_iguassuensis;Crenicichla_haroldoi;Cyphocharax_sp;Deuterodon_langei;Geophagus_brasiliensis;Glandulocauda_caerulea;Gymnotus_inaequilabitaus;Kronichthys_lacerta;Heptapterus_stewarti;Hisonotus_leucofrenatus;Hisonotus_sp;Hollandichthys_multifasciatus;Hoplias_sp;Hyphessobrycon_reticulatus;Hyphessobrycon_itaparicensis;Hyphessobrycon_bifasciatus;Hypostomus_ancistroides;Hypostomus_derbyi;Hypostomus_sp;Jenynsia_eigenmanni;Melanorivulus_apiamici;Mimagoniates_microlepis;Misgurnus_anguillicaudatus;Oligosarcus_longirostris;Phallotorynus_pankalos;Pareiorhaphis_steindachneri;Pareiorhaphis_parmula;Phalloceros_spiloura;Phalloceros.harpagos;Phalloceros_sp;Piabina_argentea;Pimelodella_pappenheimi;Pimelodella_sp;Prochilodus_lineatus;Poecilia_vivipara;Pseudotothyris_obtusa;Pyrhulina_australis;Rhamdia_quelen;Rhamdia_branneri;Rhamdia_voulezi;Rhamdioglanis_frenatus;Rhamdiopsis_moreirai;Rineloricaria_lima;Rineloricaria_sp;Rineloricaria_maacki;Rineloricaria_langei;Rivulus_sp;Scleromystax_barbatus;Serrapinus_notomelas;Synbranchus_sp;Trichomycterus_castroi;Trichomycterus_naipi;Trichomycterus_davisi;Trichomycterus_plumbeus;Trichomycterus_sp
P1018;0;0;0;0;0;0;0;1;0;117;0;1;0;0;0;0;28;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;17;0;0;0;0;0;0;0;10;21;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1;11;0;0
P1025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
P1033;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1034;2;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1035;0;0;0;0;0;0;0;0;0;0;0;15;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
P1037;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
P1040;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P1050;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
