"","Acestrorhynchus_lacustris","Apareiodon_piracicabae","Aspidoras_fuscoguttatus","Astyanax_altiparanae","Astyanax_fasciatus","Astyanax_paranensis","Astyanax_bockmanni","Bryconamericus_stramineus","Callichthys_callichthys","Cetopsorhamdia_iheringi","Characidium_gomesi","Characidium_lagossantense","Characidium_zebra","Cichlasoma_paranaense","Corydoras_aeneus","Crenicichla_britskii","Cyphocharax_modestus","Cyphocharax_vanderi","Eigenmannia_virescens","Erythrinus_erythrinus","Geophagus_brasiliensis","Gymnotus_sylvius","Gymnotus_inaequilabiatus","Hemigrammus_marginatus","Hisonotus_francirochai","Hoplosternum_littorale","Hoplias_malabaricus","Hypostomus_ancistroides","Hyphessobrycon_anisitsi","Hyphessobrycon_eques","Hypostomus_nigromaculatus","Imparfinis_schubarti","Knodus_moenkhausii","Laetacara_aff_araguaiae","Leporinus_friderici","Leporinus_lacustris","Leporinus_paranensis","Lepthoplosternum_pectorale","Leporinus_striatus","Moenkhausia_sanctaefilomenae","Oligosarcus_pintoi","Oreochromis_niloticus","Pamphorichthys_hollandi","Parodon_nasus","Phalloceros_harpagos","Phenacorhamdia_tenebrosa","Piabina_argentea","Pimelodella_avanhandavae","Planaltina_britskii","Poecilia_reticulata","Prochilodus_lineatus","Pseudopimelodus_pulcher","Pyrrhulina_australis","Rhamdia_quelen","Rivulus_pictus","Satanoperca_pappaterra","Serrapinnus_heterodon","Serrapinnus_notomelas","Serrasalmus_maculatus","Serrasalmus_marginatus","Steindachnerina_insculpta","Synbranchus_marmoratus","Tilapia_rendalli"
"P1188",0,0,1,25,0,0,0,0,0,0,0,0,0,0,4,0,0,28,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"P1189",0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1192",0,0,7,58,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,17,0,0,0,0,0
"P1193",0,0,0,12,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,8,0,1,0,0,1,21,0,0,0,32,0,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P1194",0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P1196",1,0,0,42,2,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,10,2,0,0,0,0,4,0,0,0,0,0,1,13,0,0
"P1198",0,0,0,8,0,0,0,0,0,0,0,0,2,1,14,3,8,0,9,0,0,0,0,0,0,0,0,25,0,0,0,7,0,0,0,0,0,0,0,5,18,0,0,0,0,0,15,0,0,6,0,0,0,2,0,0,0,16,0,0,2,0,0
"P1199",0,0,23,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,66,0,0,0,1,0,0,0,0,0,0,0,0,0
"P1200",0,0,17,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P1201",0,0,1,80,9,0,0,0,0,2,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,56,0,9,0,0,0,0,0,0,0,5,0,0,9,0,0,33,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0
